epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.00492,2.35033,7.4524,0.71806,2.66807,1.7767,0.57008,0.51701,0.47363,0.23359,0.02242,0.02721,0.00137,0.00015,1.7056,6.8278,0.67776,2.08939,1.2449,0.000615385,0.000615385,0.000615385
2,12.5273,1.65328,5.10297,0.69791,1.15112,1.19445,0.52735,0.51612,0.45933,0.21354,0.05522,0.10884,0.0087,0.0012,1.77075,6.10801,0.67189,2.4514,1.29264,0.00127359,0.00127359,0.00127359
3,15.6049,1.62684,3.997,0.68509,1.21195,1.23194,0.07527,0.55782,0.06416,0.02649,0.06599,0.17007,0.03243,0.00626,1.81179,5.18186,0.6422,17.7418,1.29973,0.00192299,0.00192299,0.00192299
4,18.6683,1.62625,3.36422,0.65838,1.05011,1.18382,0.47463,0.41497,0.33961,0.16812,0.31013,0.42177,0.28167,0.09458,1.72531,4.23367,0.62909,1.90114,1.23715,0.0019604,0.0019604,0.0019604
5,21.9758,1.5509,3.02629,0.6351,0.94668,1.1614,0.19492,0.3854,0.16363,0.07607,0.20085,0.40136,0.16658,0.07509,1.7493,3.01569,0.57396,9.79344,1.28578,0.0019472,0.0019472,0.0019472
6,25.0394,1.44147,2.45725,0.605,0.8936,1.13408,0.82783,0.55606,0.6377,0.35156,0.82783,0.55606,0.67358,0.34835,1.59919,2.54286,0.56731,1.74618,1.22014,0.001934,0.001934,0.001934
7,28.3855,1.51404,2.30496,0.58193,0.86225,1.14335,0.63242,0.55782,0.61263,0.33246,0.64831,0.57143,0.67329,0.37246,1.54974,2.18086,0.59342,1.41553,1.18848,0.0019208,0.0019208,0.0019208
8,31.734,1.44891,1.95532,0.57123,0.84703,1.12932,0.75721,0.63946,0.71524,0.38762,0.76828,0.76871,0.81852,0.58518,1.42243,1.72962,0.56277,1.06819,1.10648,0.0019076,0.0019076,0.0019076
9,34.9799,1.38582,1.75012,0.53149,0.799,1.09446,0.76203,0.63173,0.70186,0.37321,0.83408,0.70068,0.80041,0.56806,1.45874,1.61756,0.52469,1.01501,1.16056,0.0018944,0.0018944,0.0018944
10,38.0882,1.39435,1.55141,0.5035,0.80116,1.08098,0.79609,0.58429,0.6623,0.35824,0.80763,0.71399,0.81096,0.55591,1.5261,1.5259,0.48912,1.07315,1.15351,0.0018812,0.0018812,0.0018812
11,41.3106,1.37359,1.50802,0.47066,0.79445,1.09441,0.73568,0.7415,0.76316,0.43582,0.78292,0.78912,0.83844,0.5789,1.41894,1.61273,0.3937,0.8824,1.0792,0.001868,0.001868,0.001868
12,44.6402,1.39375,1.47929,0.43232,0.78698,1.08826,0.74551,0.75728,0.77227,0.41079,0.78104,0.80272,0.8473,0.57511,1.51729,1.47213,0.36594,0.85666,1.12267,0.0018548,0.0018548,0.0018548
13,47.8876,1.3854,1.27105,0.40471,0.75005,1.06303,0.78566,0.73469,0.75631,0.424,0.81505,0.89116,0.8962,0.61351,1.43521,1.27023,0.35017,0.78543,1.0806,0.0018416,0.0018416,0.0018416
