step,thrust_cmd,roll_cmd,pitch_cmd,yaw_cmd,a_thrust,a_roll,a_pitch,a_yaw,gyro_x,gyro_y,gyro_z,ax,ay,az,tilt_roll,tilt_pitch,gate_visible,reward,r_collision,r_progress,r_gate,active_gate,term_reason
0,0.270,-0.010,-0.152,-0.042,+0.000,+0.003,+0.051,+0.014,+0.000,+0.000,-0.000,-3.00,+0.00,-9.34,+0.000,+0.311,1,-0.002,+0.00,+0.000,+0.0,0,
1,0.270,-0.010,-0.127,-0.042,+0.000,+0.003,+0.042,+0.014,-0.006,-0.004,+0.003,-2.92,+0.01,-9.39,+0.001,+0.302,1,-0.001,+0.00,+0.000,+0.0,0,
2,0.270,-0.009,-0.085,-0.042,+0.000,+0.003,+0.028,+0.014,+0.002,+0.197,+0.002,-1.95,+0.03,-10.43,+0.003,+0.185,1,-0.002,+0.00,+0.000,+0.0,0,
3,0.270,-0.008,-0.039,-0.038,+0.000,+0.003,+0.013,+0.013,+0.000,+0.388,+0.001,-1.00,+0.00,-9.78,+0.000,+0.102,1,-0.002,+0.00,+0.000,+0.0,0,
4,0.270,-0.001,-0.047,-0.038,+0.000,+0.000,+0.016,+0.013,+0.049,+0.193,+0.141,-0.39,+0.00,-9.49,+0.000,+0.041,1,-0.001,+0.00,+0.000,+0.0,0,
5,0.270,-0.001,-0.057,-0.032,+0.000,+0.000,+0.019,+0.011,+0.022,+0.092,+0.124,-0.01,+0.00,-9.84,+0.000,+0.001,1,-0.002,+0.00,+0.000,+0.0,0,
6,0.270,+0.008,-0.046,+0.019,+0.000,-0.003,+0.015,-0.006,+0.002,+0.168,+0.066,-0.02,+0.00,-10.01,+0.000,+0.002,1,-0.001,+0.00,+0.000,+0.0,0,
7,0.270,+0.008,-0.044,+0.021,+0.000,-0.003,+0.015,-0.007,-0.005,+0.153,+0.026,-0.02,-0.00,-10.08,-0.000,+0.002,1,-0.002,+0.00,+0.000,+0.0,0,
8,0.270,-0.001,-0.045,-0.005,+0.000,+0.000,+0.015,+0.002,-0.018,+0.123,-0.057,-0.03,-0.00,-10.10,-0.000,+0.003,1,-0.002,+0.00,+0.000,+0.0,0,
9,0.271,-0.000,-0.043,-0.008,+0.002,+0.000,+0.014,+0.003,-0.004,+0.127,-0.053,-0.03,-0.00,-10.11,-0.000,+0.003,1,-0.001,+0.00,+0.000,+0.0,0,
10,0.272,+0.002,-0.043,-0.004,+0.005,-0.001,+0.014,+0.001,+0.007,+0.125,+0.009,-0.04,+0.00,-10.12,+0.000,+0.004,1,-0.002,+0.00,+0.000,+0.0,0,
