step,thrust_cmd,roll_cmd,pitch_cmd,yaw_cmd,a_thrust,a_roll,a_pitch,a_yaw,gyro_x,gyro_y,gyro_z,ax,ay,az,tilt_roll,tilt_pitch,gate_visible,reward,r_collision,r_progress,r_gate,active_gate,term_reason
0,0.282,+0.000,-0.152,-0.000,+0.025,-0.000,+0.051,+0.000,+0.000,+0.000,-0.000,-3.00,+0.00,-9.34,+0.000,+0.311,1,-0.001,+0.00,+0.000,+0.0,0,
1,0.282,+0.000,-0.123,-0.000,+0.025,-0.000,+0.041,+0.000,+0.005,-0.011,+0.000,-3.06,-0.03,-8.34,-0.004,+0.351,1,-0.012,+0.00,-0.011,+0.0,0,
2,0.282,-0.001,-0.099,-0.000,+0.025,+0.000,+0.033,+0.000,-0.008,-0.004,+0.002,-2.95,+0.03,-9.42,+0.004,+0.304,1,-0.000,+0.00,+0.002,+0.0,0,
3,0.282,-0.000,-0.041,-0.000,+0.025,+0.000,+0.014,+0.000,+0.000,+0.364,+0.000,-0.77,+0.00,-9.92,+0.000,+0.078,1,-0.011,+0.00,-0.010,+0.0,0,
4,0.282,-0.000,-0.028,-0.000,+0.025,+0.000,+0.009,+0.000,-0.000,+0.339,-0.000,-0.02,-0.00,-9.65,-0.000,+0.002,1,+0.001,+0.00,+0.003,+0.0,0,
5,0.282,-0.000,-0.054,-0.000,+0.025,+0.000,+0.018,+0.000,-0.000,+0.075,-0.000,-0.01,-0.00,-10.36,-0.000,+0.001,1,-0.003,+0.00,-0.001,+0.0,0,
6,0.282,-0.000,-0.048,-0.000,+0.025,+0.000,+0.016,+0.000,+0.000,+0.121,+0.000,-0.01,+0.00,-10.65,+0.000,+0.001,1,-0.001,+0.00,+0.001,+0.0,0,
7,0.282,-0.000,-0.044,-0.000,+0.025,+0.000,+0.015,+0.000,+0.000,+0.150,+0.000,-0.02,+0.00,-10.77,+0.000,+0.002,1,+0.006,+0.00,+0.008,+0.0,0,
8,0.282,-0.000,-0.044,-0.000,+0.025,+0.000,+0.015,+0.000,+0.000,+0.129,+0.000,-0.02,-0.00,-10.79,-0.000,+0.002,1,+0.065,+0.00,+0.067,+0.0,0,
9,0.282,-0.000,-0.044,-0.000,+0.025,+0.000,+0.015,+0.000,+0.000,+0.122,-0.000,-0.03,+0.00,-10.81,+0.000,+0.003,1,-0.140,+0.00,-0.138,+0.0,0,
10,0.282,-0.000,-0.042,-0.000,+0.025,+0.000,+0.014,+0.000,+0.000,+0.122,-0.000,-0.04,+0.00,-10.80,+0.000,+0.004,1,-0.290,+0.00,-0.289,+0.0,0,
11,0.282,-0.000,-0.042,-0.000,+0.025,+0.000,+0.014,+0.000,+0.000,+0.116,+0.000,-0.05,+0.00,-10.79,+0.000,+0.005,1,-0.004,+0.00,-0.003,+0.0,0,
12,0.282,-0.000,-0.043,-0.000,+0.025,+0.000,+0.014,+0.000,+0.000,+0.113,+0.000,-0.06,+0.00,-10.78,+0.000,+0.005,1,-0.000,+0.00,+0.001,+0.0,0,
13,0.282,-0.000,-0.042,-0.000,+0.025,+0.000,+0.014,+0.000,+0.000,+0.113,-0.000,-0.07,+0.00,-10.77,+0.000,+0.007,1,+0.069,+0.00,+0.070,+0.0,0,
14,0.282,-0.000,-0.041,-0.000,+0.025,+0.000,+0.014,+0.000,+0.000,+0.111,-0.000,-0.08,+0.00,-10.76,+0.000,+0.008,1,-0.091,+0.00,-0.090,+0.0,0,
15,0.282,-0.000,-0.041,-0.000,+0.025,+0.000,+0.014,+0.000,+0.000,+0.108,+0.000,-0.10,-0.00,-10.75,-0.000,+0.009,1,+0.431,+0.00,+0.433,+0.0,0,
16,0.282,-0.000,-0.040,-0.000,+0.025,+0.000,+0.013,+0.000,+0.000,+0.106,+0.000,-0.12,-0.00,-10.73,-0.000,+0.011,1,+0.015,+0.00,+0.016,+0.0,0,
17,0.282,-0.000,-0.041,-0.000,+0.025,+0.000,+0.014,+0.000,+0.000,+0.105,-0.000,-0.13,-0.00,-10.73,-0.000,+0.012,1,+0.002,+0.00,+0.004,+0.0,0,
18,0.282,-0.000,-0.040,-0.000,+0.025,+0.000,+0.013,+0.000,+0.000,+0.103,-0.000,-0.15,+0.00,-10.71,+0.000,+0.014,1,-0.420,+0.00,-0.418,+0.0,0,
19,0.282,-0.000,-0.039,-0.000,+0.025,+0.000,+0.013,+0.000,+0.000,+0.102,-0.000,-0.17,+0.00,-10.70,+0.000,+0.016,1,+0.017,+0.00,+0.018,+0.0,0,
20,0.282,-0.000,-0.038,-0.000,+0.025,+0.000,+0.013,+0.000,+0.000,+0.100,-0.000,-0.19,+0.00,-10.69,+0.000,+0.018,1,+0.535,+0.00,+0.537,+0.0,0,
21,0.282,-0.000,-0.038,-0.000,+0.025,+0.000,+0.013,+0.000,+0.000,+0.097,+0.000,-0.16,-0.00,-10.70,-0.000,+0.015,1,-0.603,+0.00,-0.601,+0.0,0,
22,0.282,-0.000,-0.038,-0.000,+0.025,+0.000,+0.013,+0.000,+0.000,+0.096,-0.000,-0.24,+0.00,-10.66,+0.000,+0.022,1,+0.616,+0.00,+0.618,+0.0,0,
23,0.282,-0.000,-0.037,-0.000,+0.025,+0.000,+0.012,+0.000,+0.000,+0.096,+0.000,-0.26,+0.00,-10.65,+0.000,+0.025,1,-0.000,+0.00,+0.001,+0.0,0,
24,0.282,-0.000,-0.036,-0.000,+0.025,+0.000,+0.012,+0.000,+0.000,+0.093,-0.000,-0.29,-0.00,-10.63,-0.000,+0.027,1,-0.155,+0.00,-0.152,+0.0,0,
25,0.282,-0.000,-0.035,-0.000,+0.025,+0.000,+0.012,+0.000,+0.000,+0.090,+0.000,-0.32,-0.00,-10.62,-0.000,+0.030,1,-0.009,+0.00,-0.007,+0.0,0,
26,0.282,-0.000,-0.034,-0.000,+0.025,+0.000,+0.011,+0.000,+0.000,+0.088,-0.000,-0.35,+0.00,-10.61,+0.000,+0.033,1,-0.006,+0.00,-0.005,+0.0,0,
27,0.282,-0.000,-0.034,-0.000,+0.025,+0.000,+0.011,+0.000,+0.000,+0.086,-0.000,-0.38,-0.00,-10.59,-0.000,+0.035,1,-0.016,+0.00,-0.015,+0.0,0,
28,0.282,-0.000,-0.032,-0.000,+0.025,+0.000,+0.011,+0.000,+0.000,+0.084,+0.000,-0.41,+0.00,-10.58,+0.000,+0.039,1,+0.000,+0.00,+0.002,+0.0,0,
29,0.282,-0.000,-0.031,-0.000,+0.025,+0.000,+0.010,+0.000,+0.000,+0.081,+0.000,-0.44,+0.00,-10.57,+0.000,+0.042,1,+0.006,+0.00,+0.008,+0.0,0,
30,0.282,-0.000,-0.030,-0.000,+0.025,+0.000,+0.010,+0.000,+0.000,+0.078,-0.000,-0.48,-0.00,-10.55,-0.000,+0.045,1,+0.000,+0.00,+0.002,+0.0,0,
31,0.282,-0.000,-0.028,-0.000,+0.025,+0.000,+0.009,+0.000,+0.000,+0.074,+0.000,-0.52,+0.00,-10.54,+0.000,+0.049,1,+0.009,+0.00,+0.010,+0.0,0,
32,0.282,-0.000,-0.028,-0.000,+0.025,+0.000,+0.009,+0.000,+0.000,+0.072,-0.000,-0.55,-0.00,-10.53,-0.000,+0.052,1,-0.004,+0.00,-0.002,+0.0,0,
33,0.282,-0.000,-0.026,-0.000,+0.025,+0.000,+0.009,+0.000,+0.000,+0.069,+0.000,-0.59,+0.00,-10.51,+0.000,+0.056,1,+0.012,+0.00,+0.014,+0.0,0,
34,0.282,-0.000,-0.025,-0.000,+0.025,+0.000,+0.008,+0.000,+0.000,+0.066,-0.000,-0.63,+0.00,-10.50,+0.000,+0.059,1,+0.000,+0.00,+0.002,+0.0,0,
35,0.282,-0.000,-0.023,-0.000,+0.025,+0.000,+0.008,+0.000,+0.000,+0.062,-0.000,-0.67,+0.00,-10.48,+0.000,+0.064,1,+0.008,+0.00,+0.009,+0.0,0,
36,0.282,-0.000,-0.021,-0.000,+0.025,+0.000,+0.007,+0.000,+0.000,+0.058,+0.000,-0.71,+0.00,-10.47,+0.000,+0.068,1,+0.005,+0.00,+0.006,+0.0,0,
37,0.282,-0.000,-0.020,-0.000,+0.025,+0.000,+0.007,+0.000,+0.000,+0.054,+0.000,-0.75,+0.00,-10.45,+0.000,+0.072,1,+0.011,+0.00,+0.013,+0.0,0,
38,0.282,-0.000,-0.019,-0.000,+0.025,+0.000,+0.006,+0.000,+0.000,+0.051,-0.000,-0.80,-0.00,-10.44,-0.000,+0.076,1,+0.007,+0.00,+0.008,+0.0,0,
39,0.282,-0.000,-0.017,-0.000,+0.025,+0.000,+0.006,+0.000,+0.000,+0.048,-0.000,-0.82,-0.00,-10.43,-0.000,+0.079,1,+0.006,+0.00,+0.008,+0.0,0,
40,0.282,-0.000,-0.015,-0.000,+0.025,+0.000,+0.005,+0.000,+0.000,+0.044,+0.000,-0.87,+0.00,-10.42,+0.000,+0.083,1,+0.013,+0.00,+0.015,+0.0,0,
41,0.282,-0.000,-0.013,-0.000,+0.025,+0.000,+0.004,+0.000,+0.000,+0.039,+0.000,-0.92,+0.00,-10.40,+0.000,+0.088,1,+0.012,+0.00,+0.013,+0.0,0,
42,0.282,-0.000,-0.012,-0.000,+0.025,+0.000,+0.004,+0.000,+0.000,+0.035,+0.000,-0.96,+0.00,-10.39,+0.000,+0.093,1,+0.009,+0.00,+0.011,+0.0,0,
43,0.282,-0.000,-0.010,-0.000,+0.025,+0.000,+0.003,+0.000,+0.000,+0.030,-0.000,-1.01,-0.00,-10.38,-0.000,+0.097,1,+0.010,+0.00,+0.012,+0.0,0,
44,0.282,-0.000,-0.008,-0.000,+0.025,+0.000,+0.003,+0.000,+0.000,+0.026,-0.000,-1.06,-0.00,-10.36,-0.000,+0.102,1,+0.022,+0.00,+0.024,+0.0,0,
45,0.282,-0.000,-0.006,-0.000,+0.025,+0.000,+0.002,+0.000,+0.000,+0.021,-0.000,-1.11,-0.00,-10.35,-0.000,+0.107,1,+0.013,+0.00,+0.015,+0.0,0,
46,0.282,-0.000,-0.004,-0.000,+0.025,+0.000,+0.001,+0.000,+0.000,+0.016,-0.000,-1.16,-0.00,-10.34,-0.000,+0.112,1,+0.010,+0.00,+0.011,+0.0,0,
47,0.282,-0.000,-0.002,-0.000,+0.025,+0.000,+0.001,+0.000,+0.000,+0.013,+0.000,-1.20,+0.00,-10.33,+0.000,+0.116,1,+0.025,+0.00,+0.027,+0.0,0,
48,0.282,-0.000,+0.000,-0.000,+0.025,+0.000,-0.000,+0.000,+0.000,+0.007,+0.000,-1.25,+0.00,-10.31,+0.000,+0.121,1,+0.013,+0.00,+0.015,+0.0,0,
49,0.282,-0.000,+0.002,-0.000,+0.025,+0.000,-0.001,+0.000,+0.000,+0.002,+0.000,-1.31,+0.00,-10.30,+0.000,+0.126,1,+0.032,+0.00,+0.034,+0.0,0,
50,0.282,-0.000,+0.004,-0.000,+0.025,+0.000,-0.001,+0.000,+0.000,-0.003,-0.000,-1.36,+0.00,-10.29,+0.000,+0.131,1,+0.026,+0.00,+0.028,+0.0,0,
51,0.282,-0.000,+0.006,-0.000,+0.025,+0.000,-0.002,+0.000,+0.000,-0.008,-0.000,-1.41,+0.00,-10.28,+0.000,+0.136,1,+0.017,+0.00,+0.018,+0.0,0,
52,0.282,-0.000,+0.009,-0.000,+0.025,+0.000,-0.003,+0.000,-0.000,-0.011,+0.000,-1.44,+0.00,-10.27,+0.000,+0.140,1,+0.030,+0.00,+0.032,+0.0,0,
53,0.282,+0.000,+0.011,-0.000,+0.025,-0.000,-0.004,+0.000,+0.000,-0.018,+0.000,-1.50,+0.00,-10.26,+0.000,+0.145,1,+0.027,+0.00,+0.029,+0.0,0,
54,0.282,+0.000,+0.013,-0.000,+0.025,-0.000,-0.004,+0.000,-0.000,-0.024,-0.000,-1.56,+0.00,-10.25,+0.000,+0.151,1,+0.037,+0.00,+0.039,+0.0,0,
55,0.282,+0.000,+0.015,-0.000,+0.025,-0.000,-0.005,+0.000,-0.000,-0.028,-0.000,-1.61,-0.00,-10.24,-0.000,+0.156,1,+0.038,+0.00,+0.040,+0.0,0,
56,0.282,+0.000,+0.017,-0.000,+0.025,-0.000,-0.006,+0.000,+0.000,-0.034,-0.000,-1.66,+0.00,-10.23,+0.000,+0.161,1,+0.031,+0.00,+0.033,+0.0,0,
57,0.383,+0.000,+0.020,-0.000,+0.227,-0.000,-0.007,+0.000,-0.000,-0.039,-0.000,-1.72,+0.00,-10.22,+0.000,+0.167,1,+0.046,+0.00,+0.048,+0.0,0,
58,0.383,+0.000,+0.020,-0.000,+0.227,-0.000,-0.007,+0.000,-0.000,-0.042,-0.000,-1.75,+0.00,-11.39,+0.000,+0.152,1,+0.051,+0.00,+0.053,+0.0,0,
59,0.386,+0.004,+0.017,+0.016,+0.231,-0.001,-0.006,-0.005,-0.000,-0.050,-0.000,-1.80,+0.00,-14.49,+0.000,+0.124,1,+0.058,+0.00,+0.059,+0.0,0,
60,0.383,-0.001,+0.015,-0.000,+0.227,+0.000,-0.005,+0.000,-0.005,-0.044,-0.008,-1.85,-0.00,-15.86,-0.000,+0.116,1,+0.052,+0.00,+0.054,+0.0,0,
61,0.383,-0.001,+0.013,-0.000,+0.227,+0.000,-0.004,+0.000,-0.007,-0.037,-0.030,-1.90,-0.00,-16.30,-0.000,+0.116,1,+0.081,+0.00,+0.083,+0.0,0,
62,0.382,+0.001,+0.012,+0.003,+0.224,-0.000,-0.004,-0.001,+0.004,-0.033,-0.010,-1.95,+0.00,-16.42,+0.000,+0.118,1,+0.084,+0.00,+0.086,+0.0,0,
63,0.380,-0.001,+0.010,-0.000,+0.220,+0.000,-0.003,+0.000,-0.002,-0.029,+0.005,-2.01,-0.00,-16.34,-0.000,+0.122,1,+0.111,+0.00,+0.113,+0.0,0,
64,0.382,-0.004,+0.009,-0.017,+0.225,+0.001,-0.003,+0.006,-0.000,-0.026,-0.003,-2.05,+0.00,-16.20,+0.000,+0.126,1,+0.124,+0.00,+0.126,+0.0,0,
65,0.374,+0.001,+0.008,-0.000,+0.208,-0.000,-0.003,+0.000,+0.010,-0.022,+0.014,-2.11,+0.00,-16.06,+0.000,+0.130,1,+0.117,+0.00,+0.119,+0.0,0,
66,0.374,-0.004,+0.007,-0.019,+0.208,+0.001,-0.002,+0.006,+0.004,-0.020,+0.033,-2.15,-0.00,-15.51,-0.000,+0.138,1,+0.187,+0.00,+0.189,+0.0,0,
67,0.366,-0.005,+0.006,-0.028,+0.191,+0.002,-0.002,+0.009,+0.006,-0.017,+0.024,-2.19,+0.00,-14.98,+0.000,+0.145,1,+0.362,+0.00,+0.363,+0.0,0,
68,0.356,-0.003,+0.005,-0.025,+0.172,+0.001,-0.002,+0.008,+0.013,-0.015,+0.050,-2.24,+0.00,-14.17,+0.000,+0.157,1,-2.002,+0.00,-2.000,+0.0,0,
69,0.333,-0.002,+0.005,-0.020,+0.126,+0.001,-0.002,+0.007,+0.008,-0.013,+0.066,-2.28,-0.00,-13.11,-0.000,+0.173,1,+1.998,+0.00,+2.000,+0.0,0,
70,0.332,-0.012,+0.014,-0.064,+0.124,+0.004,-0.005,+0.021,+0.004,-0.012,+0.052,-2.33,-0.00,-10.92,-0.000,+0.210,1,+0.417,+0.00,+0.418,+0.0,0,
71,0.322,+0.044,+0.022,+0.176,+0.104,-0.015,-0.007,-0.059,+0.018,-0.024,+0.065,-2.36,+0.00,-10.45,+0.000,+0.222,1,-1.123,+0.00,-1.121,+0.0,0,
72,0.313,+0.427,+0.028,+1.050,+0.086,-0.142,-0.009,-0.350,-0.079,-0.047,-0.143,-2.41,-0.00,-10.08,-0.000,+0.234,1,-0.891,+0.00,-0.887,+0.0,0,
73,0.282,-0.134,+0.057,-0.000,+0.025,+0.045,-0.019,+0.000,-0.866,+0.163,-1.328,-2.47,-0.07,-16.26,-0.005,+0.151,1,-0.991,+0.00,-0.988,+0.0,0,
74,0.282,-0.051,+0.022,-0.000,+0.025,+0.017,-0.007,+0.000,+0.034,-0.129,-1.984,-2.45,+0.06,-16.66,+0.004,+0.146,1,+0.001,+0.00,+0.003,+0.0,0,
75,0.282,-0.018,+0.036,-0.000,+0.025,+0.006,-0.012,+0.000,+0.219,-0.110,+0.022,-2.49,+0.06,-7.38,+0.008,+0.325,1,+0.006,+0.00,+0.008,+0.0,0,
76,0.282,-0.036,+0.034,-0.000,+0.025,+0.012,-0.011,+0.000,+0.009,-0.088,+0.615,-2.54,+0.03,-4.59,+0.006,+0.504,1,+0.010,+0.00,+0.012,+0.0,0,
77,0.282,-0.030,+0.027,-0.000,+0.025,+0.010,-0.009,+0.000,+0.044,-0.095,+0.162,-2.59,+0.03,-5.77,+0.005,+0.423,1,+0.006,+0.00,+0.008,+0.0,0,
78,0.282,-0.022,+0.045,-0.000,+0.025,+0.007,-0.015,+0.000,+0.065,-0.078,-0.163,-2.64,+0.04,-7.13,+0.005,+0.355,1,+0.006,+0.00,+0.008,+0.0,0,
79,0.282,-0.021,+0.054,-0.000,+0.025,+0.007,-0.018,+0.000,+0.037,-0.105,-0.065,-2.68,+0.03,-8.11,+0.004,+0.319,1,+0.007,+0.00,+0.009,+0.0,0,
80,0.282,-0.017,+0.058,-0.000,+0.025,+0.006,-0.019,+0.000,+0.035,-0.137,+0.041,-2.73,+0.03,-8.67,+0.004,+0.305,1,+10.007,+0.00,+0.008,+10.0,1,
81,0.282,-0.014,+0.066,-0.000,+0.025,+0.005,-0.022,+0.000,+0.036,-0.141,+0.039,-2.76,+0.03,-8.88,+0.004,+0.301,1,-0.002,+0.00,+0.000,+0.0,1,
82,0.282,-0.012,+0.069,-0.000,+0.025,+0.004,-0.023,+0.000,+0.027,-0.155,-0.001,-2.81,+0.03,-9.08,+0.004,+0.300,1,+0.010,+0.00,+0.012,+0.0,1,
83,0.282,-0.010,+0.072,-0.000,+0.025,+0.003,-0.024,+0.000,+0.022,-0.169,-0.011,-2.86,+0.03,-9.19,+0.004,+0.301,1,+0.007,+0.00,+0.010,+0.0,1,
84,0.282,-0.009,+0.075,-0.000,+0.025,+0.003,-0.025,+0.000,+0.019,-0.176,+0.002,-2.92,+0.03,-9.28,+0.004,+0.305,1,+0.011,+0.00,+0.013,+0.0,1,
85,0.282,-0.007,+0.078,-0.000,+0.025,+0.002,-0.026,+0.000,+0.016,-0.182,+0.003,-2.96,+0.03,-9.31,+0.004,+0.308,1,+0.005,+0.00,+0.006,+0.0,1,
86,0.282,-0.006,+0.082,-0.000,+0.025,+0.002,-0.027,+0.000,+0.013,-0.189,+0.000,-3.00,+0.03,-9.34,+0.004,+0.311,1,+0.009,+0.00,+0.010,+0.0,1,
87,0.282,-0.005,+0.083,-0.000,+0.025,+0.002,-0.028,+0.000,+0.010,-0.201,-0.001,-3.05,+0.03,-9.37,+0.004,+0.314,1,+0.008,+0.00,+0.010,+0.0,1,
88,0.282,-0.004,+0.086,-0.000,+0.025,+0.001,-0.029,+0.000,+0.009,-0.204,-0.000,-3.08,+0.03,-9.40,+0.004,+0.317,1,+0.008,+0.00,+0.010,+0.0,1,
89,0.282,-0.003,+0.088,-0.000,+0.025,+0.001,-0.029,+0.000,+0.008,-0.207,+0.000,-3.11,+0.03,-9.42,+0.004,+0.319,1,+0.012,+0.00,+0.014,+0.0,1,
90,0.282,-0.002,+0.089,-0.000,+0.025,+0.001,-0.030,+0.000,+0.006,-0.212,+0.000,-3.15,+0.04,-9.45,+0.004,+0.322,1,+0.263,+0.00,+0.265,+0.0,1,
91,0.282,-0.002,+0.093,-0.000,+0.025,+0.001,-0.031,+0.000,+0.005,-0.216,-0.000,-3.18,+0.04,-9.47,+0.004,+0.324,1,+0.012,+0.00,+0.013,+0.0,1,
