step,thrust_cmd,roll_cmd,pitch_cmd,yaw_cmd,a_thrust,a_roll,a_pitch,a_yaw,gyro_x,gyro_y,gyro_z,ax,ay,az,tilt_roll,tilt_pitch,gate_visible,reward,r_collision,r_progress,r_gate,active_gate,term_reason
0,0.270,-0.008,-0.152,-0.038,+0.000,+0.003,+0.051,+0.013,+0.000,+0.000,-0.000,-3.00,-0.00,-9.34,-0.000,+0.311,1,-0.000,+0.00,+0.000,+0.0,0,
1,0.270,-0.008,-0.125,-0.038,+0.000,+0.003,+0.042,+0.013,+0.000,+0.000,-0.000,-3.00,-0.00,-9.34,-0.000,+0.311,1,-0.001,+0.00,+0.001,+0.0,0,
2,0.270,-0.007,-0.101,-0.038,+0.000,+0.002,+0.034,+0.013,+0.013,+0.001,-0.000,-2.97,-0.06,-9.45,-0.006,+0.305,1,-0.001,+0.00,+0.000,+0.0,0,
3,0.270,-0.009,-0.069,-0.038,+0.000,+0.003,+0.023,+0.013,-0.004,+0.130,-0.000,-2.04,-0.03,-10.11,-0.003,+0.199,1,-0.001,+0.00,+0.001,+0.0,0,
4,0.270,-0.009,-0.026,-0.038,+0.000,+0.003,+0.009,+0.013,-0.002,+0.351,+0.003,-0.73,-0.00,-9.64,-0.000,+0.075,1,+0.002,+0.00,+0.004,+0.0,0,
5,0.270,-0.001,-0.031,-0.038,+0.000,+0.000,+0.010,+0.013,+0.049,+0.137,+0.138,-1.28,+0.00,-9.48,+0.000,+0.134,1,-0.001,+0.00,+0.000,+0.0,0,
6,0.270,-0.002,-0.042,-0.038,+0.000,+0.001,+0.014,+0.013,+0.025,+0.062,+0.126,-0.01,+0.00,-9.84,+0.000,+0.001,1,-0.002,+0.00,+0.000,+0.0,0,
7,0.270,+0.006,-0.036,+0.011,+0.000,-0.002,+0.012,-0.004,+0.003,+0.119,+0.077,-0.01,+0.00,-10.01,+0.000,+0.001,1,-0.002,+0.00,+0.000,+0.0,0,
8,0.273,+0.004,-0.035,+0.003,+0.005,-0.001,+0.012,-0.001,-0.001,+0.125,+0.042,-0.02,-0.00,-10.08,-0.000,+0.002,1,-0.002,+0.00,+0.000,+0.0,0,
9,0.276,+0.003,-0.037,+0.008,+0.011,-0.001,+0.012,-0.003,-0.012,+0.103,-0.031,-0.02,-0.00,-10.15,-0.000,+0.002,1,-0.002,+0.00,+0.000,+0.0,0,
10,0.276,+0.003,-0.037,+0.004,+0.013,-0.001,+0.012,-0.001,-0.006,+0.103,-0.031,-0.03,-0.00,-10.24,-0.000,+0.003,1,-0.002,+0.00,+0.000,+0.0,0,
11,0.276,+0.002,-0.039,+0.004,+0.013,-0.001,+0.013,-0.001,-0.004,+0.107,-0.009,+0.12,+0.00,-10.45,+0.000,-0.011,1,-0.002,+0.00,+0.000,+0.0,0,
12,0.277,+0.002,-0.039,+0.003,+0.014,-0.001,+0.013,-0.001,-0.004,+0.106,-0.003,-0.05,-0.00,-10.43,-0.000,+0.005,1,-0.001,+0.00,+0.000,+0.0,0,
