step,thrust_cmd,roll_cmd,pitch_cmd,yaw_cmd,a_thrust,a_roll,a_pitch,a_yaw,gyro_x,gyro_y,gyro_z,ax,ay,az,tilt_roll,tilt_pitch,gate_visible,reward,r_collision,r_progress,r_gate,active_gate,term_reason
0,0.270,-0.001,-0.152,-0.004,+0.000,+0.000,+0.051,+0.001,+0.000,+0.000,-0.000,-3.00,-0.00,-9.34,-0.000,+0.311,1,-0.002,+0.00,+0.000,+0.0,0,
1,0.270,+0.000,-0.125,+0.001,+0.000,-0.000,+0.042,-0.000,+0.000,+0.000,-0.000,-3.00,-0.00,-9.34,-0.000,+0.311,1,-0.002,+0.00,+0.000,+0.0,0,
2,0.270,+0.001,-0.102,+0.001,+0.000,-0.000,+0.034,-0.000,+0.010,-0.005,-0.001,-2.98,-0.05,-9.47,-0.005,+0.305,1,-0.001,+0.00,+0.000,+0.0,0,
3,0.270,-0.001,-0.080,+0.001,+0.000,+0.000,+0.027,-0.000,-0.013,+0.036,-0.001,-2.19,+0.02,-9.72,+0.002,+0.221,1,-0.002,+0.00,+0.000,+0.0,0,
4,0.270,-0.001,-0.033,-0.003,+0.000,+0.000,+0.011,+0.001,-0.001,+0.333,-0.000,-0.56,-0.01,-9.60,-0.001,+0.058,1,-0.002,+0.00,+0.000,+0.0,0,
5,0.270,-0.000,-0.044,-0.004,+0.000,+0.000,+0.015,+0.001,+0.007,+0.170,+0.001,-0.01,+0.00,-9.60,+0.000,+0.001,1,-0.002,+0.00,+0.000,+0.0,0,
6,0.270,+0.001,-0.052,+0.001,+0.000,-0.000,+0.017,-0.000,+0.002,+0.085,+0.007,-0.01,+0.00,-9.87,+0.000,+0.001,1,-0.002,+0.00,+0.000,+0.0,0,
7,0.270,+0.001,-0.044,+0.003,+0.000,-0.000,+0.015,-0.001,-0.001,+0.145,+0.008,-0.02,-0.00,-10.03,-0.000,+0.002,1,-0.001,+0.00,+0.000,+0.0,0,
8,0.270,+0.000,-0.043,+0.001,+0.000,-0.000,+0.014,-0.000,-0.001,+0.143,-0.002,-0.02,-0.00,-10.08,-0.000,+0.002,1,-0.002,+0.00,+0.000,+0.0,0,
9,0.270,-0.001,-0.044,-0.005,+0.000,+0.000,+0.015,+0.002,-0.001,+0.120,-0.010,-0.03,-0.00,-10.10,-0.000,+0.003,1,-0.002,+0.00,+0.000,+0.0,0,
10,0.270,-0.001,-0.043,-0.005,+0.000,+0.000,+0.014,+0.002,+0.003,+0.122,+0.003,-0.03,+0.00,-10.11,+0.000,+0.003,1,+0.019,+0.00,+0.021,+0.0,0,
11,0.270,-0.001,-0.042,-0.005,+0.000,+0.000,+0.014,+0.002,+0.003,+0.119,+0.016,-0.04,+0.00,-10.11,+0.000,+0.004,1,-0.002,+0.00,+0.000,+0.0,0,
12,0.270,+0.002,-0.042,+0.005,+0.000,-0.001,+0.014,-0.002,+0.002,+0.114,+0.014,-0.05,+0.00,-10.10,+0.000,+0.005,1,-0.001,+0.00,+0.000,+0.0,0,
13,0.270,+0.001,-0.042,+0.003,+0.000,-0.000,+0.014,-0.001,+0.001,+0.112,+0.009,-0.06,+0.00,-10.10,+0.000,+0.006,1,+0.001,+0.00,+0.002,+0.0,0,
14,0.270,+0.000,-0.042,+0.002,+0.000,-0.000,+0.014,-0.001,-0.004,+0.111,-0.010,-0.07,-0.00,-10.09,-0.000,+0.007,1,+0.013,+0.00,+0.015,+0.0,0,
15,0.270,-0.001,-0.041,-0.004,+0.000,+0.000,+0.014,+0.001,-0.001,+0.110,-0.011,-0.09,-0.00,-10.09,-0.000,+0.009,1,-0.002,+0.00,+0.000,+0.0,0,
16,0.270,+0.000,-0.040,+0.000,+0.000,-0.000,+0.013,-0.000,+0.002,+0.106,+0.003,-0.11,+0.00,-10.08,+0.000,+0.010,1,+0.025,+0.00,+0.027,+0.0,0,
17,0.270,+0.000,-0.040,+0.001,+0.000,-0.000,+0.013,-0.000,-0.000,+0.104,+0.009,-0.12,-0.00,-10.07,-0.000,+0.012,1,+0.012,+0.00,+0.013,+0.0,0,
18,0.270,+0.001,-0.040,+0.004,+0.000,-0.000,+0.013,-0.001,-0.002,+0.103,+0.001,-0.14,-0.00,-10.07,-0.000,+0.014,1,+0.015,+0.00,+0.016,+0.0,0,
19,0.270,+0.001,-0.039,+0.005,+0.000,-0.000,+0.013,-0.002,-0.002,+0.102,-0.008,-0.16,-0.00,-10.06,-0.000,+0.016,1,-0.001,+0.00,+0.000,+0.0,0,
20,0.270,-0.000,-0.038,-0.000,+0.000,+0.000,+0.013,+0.000,-0.002,+0.101,-0.012,-0.18,-0.00,-10.06,-0.000,+0.018,1,+0.007,+0.00,+0.009,+0.0,0,
21,0.270,+0.000,-0.038,+0.003,+0.000,-0.000,+0.013,-0.001,-0.002,+0.099,-0.011,-0.20,-0.00,-10.05,-0.000,+0.020,1,+0.040,+0.00,+0.042,+0.0,0,
22,0.280,+0.001,-0.037,+0.007,+0.020,-0.000,+0.012,-0.002,+0.000,+0.095,-0.001,-0.23,+0.00,-10.04,+0.000,+0.023,1,-0.001,+0.00,+0.000,+0.0,0,
23,0.278,-0.001,-0.037,-0.003,+0.016,+0.000,+0.012,+0.001,-0.001,+0.094,-0.004,-0.24,-0.00,-10.15,-0.000,+0.024,1,-0.002,+0.00,+0.000,+0.0,0,
24,0.276,-0.000,-0.036,-0.001,+0.012,+0.000,+0.012,+0.000,+0.001,+0.093,-0.007,-0.28,+0.00,-10.40,+0.000,+0.027,1,-0.002,+0.00,+0.000,+0.0,0,
25,0.278,-0.001,-0.035,-0.004,+0.015,+0.000,+0.012,+0.001,+0.002,+0.091,+0.007,-0.30,+0.00,-10.40,+0.000,+0.029,1,-0.002,+0.00,+0.000,+0.0,0,
26,0.278,-0.001,-0.034,-0.004,+0.017,+0.000,+0.011,+0.001,+0.001,+0.088,+0.009,-0.33,+0.00,-10.41,+0.000,+0.032,1,-0.002,+0.00,+0.000,+0.0,0,
27,0.270,+0.051,-0.033,+0.225,+0.000,-0.017,+0.011,-0.075,+0.002,+0.086,+0.009,-0.36,+0.00,-10.43,+0.000,+0.034,1,-0.002,+0.00,+0.000,+0.0,0,
28,0.299,-0.008,-0.032,+0.004,+0.058,+0.003,+0.011,-0.001,-0.066,+0.088,-0.173,-0.39,-0.00,-10.11,-0.000,+0.039,1,-0.002,+0.00,+0.000,+0.0,0,
29,0.300,-0.018,-0.032,-0.024,+0.061,+0.006,+0.011,+0.008,-0.065,+0.079,-0.431,-0.42,-0.00,-10.69,-0.000,+0.039,1,-0.002,+0.00,+0.000,+0.0,0,
30,0.300,-0.006,-0.030,-0.041,+0.059,+0.002,+0.010,+0.014,+0.062,+0.080,+0.021,-0.46,+0.01,-11.43,+0.000,+0.040,1,-0.002,+0.00,+0.000,+0.0,0,
31,0.300,-0.007,-0.029,-0.030,+0.060,+0.002,+0.010,+0.010,+0.018,+0.075,+0.196,-0.50,+0.00,-11.56,+0.000,+0.043,1,-0.002,+0.00,+0.000,+0.0,0,
32,0.302,-0.004,-0.028,-0.017,+0.065,+0.001,+0.009,+0.006,+0.009,+0.074,+0.133,-0.53,+0.00,-11.62,+0.000,+0.045,1,-0.002,+0.00,+0.000,+0.0,0,
33,0.303,-0.001,-0.028,-0.009,+0.066,+0.000,+0.009,+0.003,+0.013,+0.072,+0.030,-0.57,+0.00,-11.69,+0.000,+0.049,1,-0.001,+0.00,+0.000,+0.0,0,
34,0.305,-0.001,-0.027,-0.010,+0.070,+0.000,+0.009,+0.003,+0.008,+0.070,+0.006,-0.59,+0.00,-11.73,+0.000,+0.050,1,-0.002,+0.00,+0.000,+0.0,0,
35,0.307,-0.001,-0.025,-0.006,+0.073,+0.000,+0.008,+0.002,+0.002,+0.068,+0.013,-0.64,+0.00,-11.81,+0.000,+0.054,1,+0.049,+0.00,+0.051,+0.0,0,
36,0.308,-0.002,-0.024,-0.011,+0.076,+0.001,+0.008,+0.004,+0.002,+0.063,+0.021,-0.69,+0.00,-11.91,+0.000,+0.058,1,+0.062,+0.00,+0.064,+0.0,0,
37,0.309,-0.000,-0.023,-0.006,+0.079,+0.000,+0.008,+0.002,+0.004,+0.061,+0.016,-0.73,+0.00,-11.97,+0.000,+0.061,1,+0.058,+0.00,+0.059,+0.0,0,
38,0.311,-0.001,-0.022,-0.007,+0.082,+0.000,+0.007,+0.002,+0.003,+0.058,+0.019,-0.77,+0.00,-12.01,+0.000,+0.064,1,+0.081,+0.00,+0.083,+0.0,0,
39,0.313,-0.000,-0.021,-0.005,+0.086,+0.000,+0.007,+0.002,+0.001,+0.055,+0.015,-0.81,+0.00,-12.08,+0.000,+0.067,1,+0.032,+0.00,+0.034,+0.0,0,
40,0.313,+0.000,-0.019,-0.003,+0.086,-0.000,+0.006,+0.001,+0.001,+0.052,+0.013,-0.86,+0.00,-12.17,+0.000,+0.070,1,-0.002,+0.00,+0.000,+0.0,0,
41,0.313,-0.000,-0.018,-0.004,+0.087,+0.000,+0.006,+0.001,-0.000,+0.049,+0.009,-0.90,-0.00,-12.20,-0.000,+0.073,1,+0.032,+0.00,+0.034,+0.0,0,
42,0.314,-0.000,-0.016,-0.003,+0.088,+0.000,+0.005,+0.001,-0.000,+0.046,+0.005,-0.94,-0.00,-12.20,-0.000,+0.077,1,+0.027,+0.00,+0.029,+0.0,0,
43,0.315,+0.000,-0.015,-0.003,+0.091,-0.000,+0.005,+0.001,+0.001,+0.042,+0.008,-0.99,+0.00,-12.20,+0.000,+0.081,1,+0.045,+0.00,+0.046,+0.0,0,
44,0.316,+0.002,-0.014,+0.006,+0.091,-0.001,+0.005,-0.002,-0.000,+0.039,+0.008,-1.03,-0.00,-12.22,-0.000,+0.084,1,+0.097,+0.00,+0.099,+0.0,0,
45,0.317,+0.000,-0.012,+0.001,+0.095,-0.000,+0.004,-0.000,-0.004,+0.035,-0.002,-1.09,-0.00,-12.22,-0.000,+0.089,1,+0.086,+0.00,+0.088,+0.0,0,
46,0.317,-0.000,-0.010,-0.002,+0.095,+0.000,+0.003,+0.001,-0.003,+0.032,-0.012,-1.13,-0.00,-12.24,-0.000,+0.092,1,+0.109,+0.00,+0.110,+0.0,0,
47,0.318,+0.000,-0.009,+0.001,+0.095,-0.000,+0.003,-0.000,+0.001,+0.028,-0.003,-1.18,+0.00,-12.26,+0.000,+0.096,1,+0.054,+0.00,+0.056,+0.0,0,
48,0.318,+0.001,-0.008,+0.002,+0.096,-0.000,+0.003,-0.001,-0.001,+0.023,+0.005,-1.25,+0.00,-12.22,+0.000,+0.102,1,+0.099,+0.00,+0.101,+0.0,0,
49,0.317,+0.000,-0.006,+0.000,+0.095,-0.000,+0.002,-0.000,-0.002,+0.019,-0.001,-1.27,-0.00,-12.24,-0.000,+0.104,1,+0.102,+0.00,+0.103,+0.0,0,
50,0.317,-0.000,-0.004,-0.002,+0.094,+0.000,+0.001,+0.001,-0.000,+0.016,-0.004,-1.33,+0.00,-12.18,+0.000,+0.109,1,+0.129,+0.00,+0.131,+0.0,0,
