step,thrust_cmd,roll_cmd,pitch_cmd,yaw_cmd,a_thrust,a_roll,a_pitch,a_yaw,gyro_x,gyro_y,gyro_z,ax,ay,az,tilt_roll,tilt_pitch,gate_visible,reward,r_collision,r_progress,r_gate,active_gate,term_reason
0,0.270,-0.001,-0.152,-0.005,+0.000,+0.000,+0.051,+0.002,+0.000,+0.000,-0.000,-3.00,-0.00,-9.34,-0.000,+0.311,1,-0.000,+0.00,+0.000,+0.0,0,
1,0.270,-0.001,-0.125,-0.004,+0.000,+0.000,+0.042,+0.001,+0.000,+0.000,-0.000,-3.00,-0.00,-9.34,-0.000,+0.311,1,-0.001,+0.00,+0.000,+0.0,0,
2,0.270,+0.000,-0.103,-0.004,+0.000,-0.000,+0.034,+0.001,+0.001,-0.007,-0.007,-2.76,+0.10,-9.19,+0.011,+0.292,1,-0.002,+0.00,+0.000,+0.0,0,
3,0.270,+0.000,-0.054,-0.003,+0.000,-0.000,+0.018,+0.001,-0.002,+0.264,-0.001,-1.48,-0.01,-10.09,-0.001,+0.145,1,-0.002,+0.00,+0.000,+0.0,0,
4,0.270,+0.000,-0.034,-0.004,+0.000,-0.000,+0.011,+0.001,+0.003,+0.325,+0.005,-0.02,+0.00,-9.21,+0.000,+0.002,1,-0.001,+0.00,+0.000,+0.0,0,
5,0.270,+0.002,-0.050,+0.001,+0.000,-0.001,+0.017,-0.000,+0.003,+0.128,+0.013,-0.01,+0.00,-9.69,+0.000,+0.001,1,-0.002,+0.00,+0.000,+0.0,0,
6,0.270,+0.001,-0.051,+0.001,+0.000,-0.000,+0.017,-0.000,-0.002,+0.115,+0.009,-0.01,-0.00,-9.95,-0.000,+0.001,1,-0.001,+0.00,+0.000,+0.0,0,
7,0.270,+0.001,-0.044,+0.002,+0.000,-0.000,+0.015,-0.001,-0.002,+0.160,-0.004,-0.02,-0.00,-10.06,-0.000,+0.002,1,-0.002,+0.00,+0.000,+0.0,0,
8,0.270,+0.001,-0.044,+0.004,+0.000,-0.000,+0.015,-0.001,-0.001,+0.132,-0.007,-0.02,-0.00,-10.10,-0.000,+0.002,1,-0.002,+0.00,+0.000,+0.0,0,
9,0.270,-0.001,-0.044,-0.004,+0.000,+0.000,+0.015,+0.001,-0.003,+0.124,-0.006,-0.03,-0.00,-10.11,-0.000,+0.003,1,-0.001,+0.00,+0.000,+0.0,0,
10,0.270,+0.023,-0.042,+0.100,+0.000,-0.008,+0.014,-0.033,+0.001,+0.124,-0.002,-0.04,+0.00,-10.11,+0.000,+0.004,1,-0.002,+0.00,+0.000,+0.0,0,
11,0.270,-0.006,-0.043,-0.001,+0.000,+0.002,+0.014,+0.000,-0.042,+0.119,-0.104,-0.05,-0.00,-10.12,-0.000,+0.005,1,+0.019,+0.00,+0.020,+0.0,0,
12,0.270,-0.001,-0.042,-0.002,+0.000,+0.000,+0.014,+0.001,+0.006,+0.116,-0.130,-0.06,+0.00,-10.10,+0.000,+0.006,1,+0.086,+0.00,+0.087,+0.0,0,
13,0.270,-0.002,-0.041,-0.014,+0.000,+0.001,+0.014,+0.005,+0.012,+0.114,+0.020,-0.07,+0.00,-10.10,+0.000,+0.007,1,-0.002,+0.00,+0.000,+0.0,0,
14,0.270,-0.002,-0.041,-0.010,+0.000,+0.001,+0.014,+0.003,+0.003,+0.110,+0.062,-0.05,+0.00,-10.10,+0.000,+0.005,1,-0.002,+0.00,+0.000,+0.0,0,
15,0.270,-0.056,-0.040,-0.250,+0.000,+0.019,+0.013,+0.083,+0.006,+0.108,+0.031,-0.10,+0.00,-10.08,+0.000,+0.010,1,-0.002,+0.00,+0.000,+0.0,0,
16,0.270,+0.009,-0.040,-0.006,+0.000,-0.003,+0.013,+0.002,+0.076,+0.112,+0.203,-0.11,+0.01,-10.18,+0.001,+0.011,1,-0.001,+0.00,+0.000,+0.0,0,
17,0.270,+0.026,-0.040,+0.027,+0.000,-0.009,+0.013,-0.009,+0.109,+0.107,+0.473,-0.12,+0.01,-10.12,+0.001,+0.012,1,-0.002,+0.00,+0.000,+0.0,0,
18,0.270,+0.009,-0.039,+0.041,+0.000,-0.003,+0.013,-0.014,-0.063,+0.104,+0.159,-0.14,-0.00,-10.13,-0.000,+0.014,1,-0.002,+0.00,+0.000,+0.0,0,
19,0.270,+0.009,-0.039,+0.031,+0.000,-0.003,+0.013,-0.010,-0.022,+0.098,-0.217,-0.17,-0.00,-10.06,-0.000,+0.017,1,-0.001,+0.00,+0.000,+0.0,0,
20,0.271,+0.004,-0.038,+0.008,+0.003,-0.001,+0.013,-0.003,-0.011,+0.099,-0.167,-0.18,-0.00,-10.05,-0.000,+0.018,1,-0.001,+0.00,+0.000,+0.0,0,
21,0.273,+0.004,-0.038,+0.011,+0.006,-0.001,+0.013,-0.004,-0.013,+0.097,-0.013,-0.21,-0.00,-10.08,-0.000,+0.021,1,-0.002,+0.00,+0.000,+0.0,0,
22,0.274,+0.004,-0.037,+0.012,+0.007,-0.001,+0.012,-0.004,-0.008,+0.096,+0.017,-0.23,-0.00,-10.13,-0.000,+0.022,1,-0.002,+0.00,+0.000,+0.0,0,
23,0.282,+0.004,-0.036,+0.018,+0.023,-0.001,+0.012,-0.006,-0.010,+0.094,-0.025,-0.26,-0.00,-10.19,-0.000,+0.026,1,-0.002,+0.00,+0.000,+0.0,0,
24,0.296,+0.000,-0.035,+0.004,+0.052,-0.000,+0.012,-0.001,-0.010,+0.092,-0.044,-0.29,-0.00,-10.41,-0.000,+0.027,1,-0.002,+0.00,+0.000,+0.0,0,
25,0.297,+0.000,-0.034,+0.002,+0.054,-0.000,+0.011,-0.001,-0.006,+0.090,-0.038,-0.32,-0.00,-10.85,-0.000,+0.029,1,-0.001,+0.00,+0.000,+0.0,0,
26,0.296,+0.000,-0.035,-0.000,+0.052,-0.000,+0.012,+0.000,+0.001,+0.088,-0.008,-0.34,+0.00,-11.21,+0.000,+0.030,1,-0.002,+0.00,+0.000,+0.0,0,
27,0.296,+0.001,-0.033,+0.005,+0.052,-0.000,+0.011,-0.002,-0.001,+0.087,+0.008,-0.37,-0.00,-11.39,-0.000,+0.033,1,-0.002,+0.00,+0.000,+0.0,0,
28,0.298,+0.001,-0.032,+0.005,+0.055,-0.000,+0.011,-0.002,-0.003,+0.085,-0.002,-0.41,-0.00,-11.45,-0.000,+0.035,1,-0.002,+0.00,+0.000,+0.0,0,
29,0.299,+0.001,-0.031,+0.005,+0.059,-0.000,+0.010,-0.002,-0.003,+0.081,-0.016,-0.46,-0.00,-11.48,-0.000,+0.040,1,-0.002,+0.00,+0.000,+0.0,0,
30,0.300,+0.001,-0.030,+0.005,+0.060,-0.000,+0.010,-0.002,-0.001,+0.078,-0.014,-0.48,-0.00,-11.56,-0.000,+0.041,1,-0.001,+0.00,+0.000,+0.0,0,
31,0.302,-0.001,-0.030,-0.001,+0.063,+0.000,+0.010,+0.000,-0.002,+0.076,-0.010,-0.51,-0.00,-11.60,-0.000,+0.044,1,-0.002,+0.00,+0.000,+0.0,0,
32,0.304,-0.001,-0.029,-0.003,+0.067,+0.000,+0.010,+0.001,+0.002,+0.075,-0.002,-0.55,+0.00,-11.67,+0.000,+0.047,1,+0.011,+0.00,+0.013,+0.0,0,
33,0.305,-0.000,-0.027,-0.000,+0.070,+0.000,+0.009,+0.000,+0.002,+0.073,+0.005,-0.58,+0.00,-11.73,+0.000,+0.049,1,+0.059,+0.00,+0.060,+0.0,0,
34,0.307,+0.000,-0.026,+0.002,+0.074,-0.000,+0.009,-0.001,+0.000,+0.069,+0.008,-0.62,-0.00,-11.80,-0.000,+0.052,1,+0.054,+0.00,+0.056,+0.0,0,
35,0.309,+0.001,-0.025,+0.004,+0.079,-0.000,+0.008,-0.001,-0.001,+0.065,-0.004,-0.67,-0.00,-11.90,-0.000,+0.057,1,+0.052,+0.00,+0.054,+0.0,0,
36,0.308,-0.001,-0.024,-0.001,+0.076,+0.000,+0.008,+0.000,-0.001,+0.063,-0.008,-0.70,-0.00,-11.96,-0.000,+0.058,1,-0.002,+0.00,+0.000,+0.0,0,
