step,thrust_cmd,roll_cmd,pitch_cmd,yaw_cmd,a_thrust,a_roll,a_pitch,a_yaw,gyro_x,gyro_y,gyro_z,ax,ay,az,tilt_roll,tilt_pitch,gate_visible,reward,r_collision,r_progress,r_gate,active_gate,term_reason
0,0.270,+0.000,-0.152,+0.002,+0.000,-0.000,+0.051,-0.001,+0.000,+0.000,-0.000,-3.00,-0.00,-9.34,-0.000,+0.311,1,-0.000,+0.00,+0.000,+0.0,0,
1,0.270,-0.001,-0.099,-0.006,+0.000,+0.000,+0.033,+0.002,-0.001,+0.396,-0.004,-0.03,-0.00,-10.03,-0.000,+0.003,1,-0.010,+0.00,+0.000,+0.0,0,
2,0.270,-0.002,-0.033,-0.006,+0.000,+0.001,+0.011,+0.002,-0.001,+0.396,-0.004,-0.03,-0.00,-10.03,-0.000,+0.003,1,-0.000,+0.00,+0.000,+0.0,0,
3,0.270,-0.002,-0.014,-0.007,+0.000,+0.001,+0.005,+0.002,-0.001,+0.398,-0.004,-0.04,-0.00,-10.04,-0.000,+0.004,1,-0.002,+0.00,+0.000,+0.0,0,
4,0.270,-0.001,-0.039,-0.006,+0.000,+0.000,+0.013,+0.002,+0.004,+0.119,+0.008,-0.02,+0.00,-10.09,+0.000,+0.002,1,-0.002,+0.00,+0.000,+0.0,0,
5,0.270,-0.000,-0.046,-0.003,+0.000,+0.000,+0.015,+0.001,+0.004,+0.062,+0.020,-0.03,+0.00,-10.10,+0.000,+0.003,1,-0.001,+0.00,+0.000,+0.0,0,
6,0.270,+0.001,-0.036,+0.004,+0.000,-0.000,+0.012,-0.001,+0.000,+0.147,+0.011,-0.04,+0.00,-10.10,+0.000,+0.004,1,-0.002,+0.00,+0.000,+0.0,0,
7,0.270,+0.001,-0.037,+0.005,+0.000,-0.000,+0.012,-0.002,-0.001,+0.134,+0.004,-0.05,-0.00,-10.10,-0.000,+0.005,1,-0.002,+0.00,+0.000,+0.0,0,
8,0.270,-0.000,-0.040,-0.001,+0.000,+0.000,+0.013,+0.000,-0.003,+0.103,-0.012,-0.06,-0.00,-10.09,-0.000,+0.006,1,-0.002,+0.00,+0.000,+0.0,0,
9,0.270,-0.001,-0.038,-0.002,+0.000,+0.000,+0.013,+0.001,-0.001,+0.111,-0.011,-0.07,-0.00,-10.09,-0.000,+0.007,1,-0.002,+0.00,+0.000,+0.0,0,
10,0.270,-0.000,-0.038,-0.002,+0.000,+0.000,+0.013,+0.001,+0.002,+0.109,+0.006,-0.05,+0.00,-10.09,+0.000,+0.005,1,-0.002,+0.00,+0.000,+0.0,0,
11,0.270,+0.000,-0.038,+0.000,+0.000,-0.000,+0.013,-0.000,+0.000,+0.104,+0.008,-0.11,+0.00,-10.07,+0.000,+0.011,1,-0.001,+0.00,+0.000,+0.0,0,
12,0.270,+0.000,-0.039,+0.001,+0.000,-0.000,+0.013,-0.000,-0.000,+0.104,+0.004,-0.12,-0.00,-10.07,-0.000,+0.012,1,-0.001,+0.00,+0.000,+0.0,0,
13,0.270,+0.001,-0.038,+0.003,+0.000,-0.000,+0.013,-0.001,-0.001,+0.103,-0.002,-0.14,-0.00,-10.06,-0.000,+0.014,1,-0.002,+0.00,+0.000,+0.0,0,
14,0.293,+0.001,-0.037,+0.004,+0.045,-0.000,+0.012,-0.001,-0.002,+0.101,-0.007,-0.17,-0.00,-10.05,-0.000,+0.017,1,-0.002,+0.00,+0.000,+0.0,0,
15,0.270,+0.000,-0.037,+0.002,+0.000,-0.000,+0.012,-0.001,-0.002,+0.099,-0.009,-0.18,-0.00,-10.30,-0.000,+0.018,1,-0.002,+0.00,+0.000,+0.0,0,
16,0.270,+0.000,-0.036,+0.001,+0.000,-0.000,+0.012,-0.000,-0.000,+0.095,-0.007,-0.22,-0.00,-10.29,-0.000,+0.021,1,-0.001,+0.00,+0.000,+0.0,0,
