step,thrust_cmd,roll_cmd,pitch_cmd,yaw_cmd,a_thrust,a_roll,a_pitch,a_yaw,gyro_x,gyro_y,gyro_z,ax,ay,az,tilt_roll,tilt_pitch,gate_visible,reward,r_collision,r_progress,r_gate,active_gate,term_reason
0,0.270,+0.002,-0.152,+0.007,+0.000,-0.001,+0.051,-0.002,+0.000,+0.000,-0.000,-3.00,-0.00,-9.34,-0.000,+0.311,1,-0.001,+0.00,+0.000,+0.0,0,
1,0.270,+0.002,-0.129,+0.012,+0.000,-0.001,+0.043,-0.004,-0.001,-0.010,-0.000,-3.01,-0.04,-10.07,-0.004,+0.290,1,+0.125,+0.00,+0.127,+0.0,0,
2,0.270,-0.002,-0.102,+0.002,+0.000,+0.001,+0.034,-0.001,-0.011,+0.053,-0.001,-2.30,-0.01,-9.86,-0.001,+0.229,1,-0.002,+0.00,+0.000,+0.0,0,
3,0.270,-0.002,-0.051,-0.001,+0.000,+0.001,+0.017,+0.000,-0.002,+0.326,-0.001,-1.20,-0.01,-9.99,-0.001,+0.119,1,-0.002,+0.00,+0.000,+0.0,0,
4,0.270,-0.002,-0.042,-0.006,+0.000,+0.001,+0.014,+0.002,+0.006,+0.289,-0.005,-0.02,+0.00,-9.36,+0.000,+0.002,1,-0.002,+0.00,+0.000,+0.0,0,
5,0.270,-0.001,-0.057,-0.004,+0.000,+0.000,+0.019,+0.001,+0.005,+0.106,-0.000,-0.01,+0.00,-9.82,+0.000,+0.001,1,-0.001,+0.00,+0.000,+0.0,0,
6,0.270,+0.000,-0.055,+0.001,+0.000,-0.000,+0.018,-0.000,+0.004,+0.129,+0.014,-0.01,+0.00,-9.98,+0.000,+0.001,1,-0.002,+0.00,+0.000,+0.0,0,
7,0.270,+0.000,-0.047,+0.003,+0.000,-0.000,+0.016,-0.001,+0.000,+0.164,+0.009,-0.02,+0.00,-10.08,+0.000,+0.002,1,-0.002,+0.00,+0.000,+0.0,0,
8,0.270,+0.000,-0.046,+0.003,+0.000,-0.000,+0.015,-0.001,-0.001,+0.147,-0.004,-0.03,-0.00,-10.10,-0.000,+0.003,1,-0.002,+0.00,+0.000,+0.0,0,
9,0.270,-0.001,-0.046,-0.003,+0.000,+0.000,+0.015,+0.001,-0.000,+0.126,-0.010,-0.03,-0.00,-10.11,-0.000,+0.003,1,-0.002,+0.00,+0.000,+0.0,0,
10,0.270,-0.001,-0.044,-0.003,+0.000,+0.000,+0.015,+0.001,+0.002,+0.127,-0.002,-0.04,+0.00,-10.11,+0.000,+0.004,1,-0.001,+0.00,+0.000,+0.0,0,
11,0.270,-0.001,-0.044,-0.005,+0.000,+0.000,+0.015,+0.002,+0.003,+0.124,+0.009,-0.05,+0.00,-10.10,+0.000,+0.005,1,-0.002,+0.00,+0.000,+0.0,0,
12,0.270,-0.001,-0.043,-0.007,+0.000,+0.000,+0.014,+0.002,+0.002,+0.119,+0.012,-0.06,+0.00,-10.10,+0.000,+0.006,1,-0.002,+0.00,+0.000,+0.0,0,
13,0.270,+0.001,-0.042,+0.003,+0.000,-0.000,+0.014,-0.001,+0.003,+0.117,+0.012,-0.07,+0.00,-10.09,+0.000,+0.007,1,-0.002,+0.00,+0.000,+0.0,0,
14,0.270,+0.002,-0.042,+0.007,+0.000,-0.001,+0.014,-0.002,+0.000,+0.113,+0.010,-0.09,+0.00,-10.09,+0.000,+0.008,1,-0.002,+0.00,+0.000,+0.0,0,
15,0.270,+0.000,-0.041,+0.002,+0.000,-0.000,+0.014,-0.001,-0.004,+0.110,-0.009,-0.10,-0.00,-10.08,-0.000,+0.010,1,-0.001,+0.00,+0.000,+0.0,0,
16,0.270,-0.000,-0.041,+0.001,+0.000,+0.000,+0.014,-0.000,-0.002,+0.107,-0.017,-0.11,-0.00,-10.08,-0.000,+0.011,1,-0.002,+0.00,+0.000,+0.0,0,
17,0.270,+0.000,-0.040,+0.001,+0.000,-0.000,+0.013,-0.000,+0.001,+0.107,-0.006,-0.13,+0.00,-10.07,+0.000,+0.013,1,-0.001,+0.00,+0.000,+0.0,0,
18,0.270,+0.000,-0.040,+0.001,+0.000,-0.000,+0.013,-0.000,-0.001,+0.104,+0.001,-0.16,-0.00,-10.06,-0.000,+0.016,1,-0.002,+0.00,+0.000,+0.0,0,
19,0.270,+0.001,-0.039,+0.003,+0.000,-0.000,+0.013,-0.001,-0.000,+0.101,-0.001,-0.18,-0.00,-10.05,-0.000,+0.018,1,-0.002,+0.00,+0.000,+0.0,0,
20,0.270,+0.000,-0.038,+0.002,+0.000,-0.000,+0.013,-0.001,-0.000,+0.100,-0.003,-0.19,-0.00,-10.05,-0.000,+0.019,1,-0.002,+0.00,+0.000,+0.0,0,
21,0.270,-0.000,-0.038,+0.000,+0.000,+0.000,+0.013,-0.000,-0.001,+0.096,-0.006,-0.22,-0.00,-10.04,-0.000,+0.022,1,-0.001,+0.00,+0.000,+0.0,0,
22,0.270,+0.001,-0.037,+0.003,+0.000,-0.000,+0.012,-0.001,+0.000,+0.096,-0.004,-0.24,+0.00,-10.04,+0.000,+0.024,1,-0.002,+0.00,+0.000,+0.0,0,
23,0.270,-0.000,-0.036,-0.001,+0.000,+0.000,+0.012,+0.000,-0.000,+0.095,-0.001,-0.27,-0.00,-10.03,-0.000,+0.027,1,-0.002,+0.00,+0.000,+0.0,0,
24,0.270,+0.001,-0.035,+0.007,+0.000,-0.000,+0.012,-0.002,+0.000,+0.090,-0.003,-0.31,+0.00,-10.02,+0.000,+0.030,1,-0.002,+0.00,+0.000,+0.0,0,
25,0.270,+0.000,-0.034,+0.003,+0.000,-0.000,+0.011,-0.001,-0.002,+0.088,-0.004,-0.34,-0.00,-10.01,-0.000,+0.034,1,-0.001,+0.00,+0.000,+0.0,0,
26,0.271,+0.000,-0.033,+0.005,+0.002,-0.000,+0.011,-0.002,-0.003,+0.087,-0.011,-0.35,-0.00,-10.01,-0.000,+0.035,1,-0.002,+0.00,+0.000,+0.0,0,
27,0.273,-0.000,-0.032,+0.000,+0.007,+0.000,+0.011,-0.000,-0.001,+0.084,-0.012,-0.39,-0.00,-10.02,-0.000,+0.039,1,-0.002,+0.00,+0.000,+0.0,0,
28,0.274,-0.000,-0.031,+0.001,+0.007,+0.000,+0.010,-0.000,+0.000,+0.082,-0.007,-0.42,+0.00,-10.08,+0.000,+0.042,1,-0.002,+0.00,+0.000,+0.0,0,
29,0.276,+0.000,-0.029,+0.001,+0.013,-0.000,+0.010,-0.000,+0.001,+0.078,+0.001,-0.46,+0.00,-10.14,+0.000,+0.045,1,-0.002,+0.00,+0.000,+0.0,0,
30,0.279,-0.000,-0.028,+0.000,+0.017,+0.000,+0.009,-0.000,+0.000,+0.075,+0.001,-0.50,+0.00,-10.22,+0.000,+0.048,1,-0.001,+0.00,+0.000,+0.0,0,
31,0.279,+0.000,-0.028,+0.003,+0.018,-0.000,+0.009,-0.001,-0.000,+0.073,-0.002,-0.53,+0.00,-10.30,+0.000,+0.051,1,-0.002,+0.00,+0.000,+0.0,0,
32,0.282,+0.001,-0.026,+0.004,+0.024,-0.000,+0.009,-0.001,-0.000,+0.069,-0.003,-0.57,+0.00,-10.39,+0.000,+0.054,1,-0.002,+0.00,+0.000,+0.0,0,
33,0.282,-0.000,-0.025,+0.000,+0.024,+0.000,+0.008,-0.000,-0.001,+0.067,-0.007,-0.61,-0.00,-10.49,-0.000,+0.058,1,-0.002,+0.00,+0.000,+0.0,0,
34,0.285,-0.000,-0.023,+0.001,+0.031,+0.000,+0.008,-0.000,-0.001,+0.063,-0.009,-0.65,+0.00,-10.57,+0.000,+0.061,1,-0.001,+0.00,+0.000,+0.0,0,
35,0.287,+0.000,-0.022,+0.002,+0.034,-0.000,+0.007,-0.001,+0.001,+0.060,-0.002,-0.68,+0.00,-10.63,+0.000,+0.064,1,+0.001,+0.00,+0.003,+0.0,0,
36,0.287,-0.000,-0.021,+0.001,+0.035,+0.000,+0.007,-0.000,-0.000,+0.057,+0.000,-0.73,-0.00,-10.76,-0.000,+0.067,1,-0.002,+0.00,+0.000,+0.0,0,
37,0.290,+0.000,-0.019,+0.002,+0.040,-0.000,+0.006,-0.001,-0.001,+0.054,-0.004,-0.77,-0.00,-10.83,-0.000,+0.071,1,-0.002,+0.00,+0.000,+0.0,0,
38,0.270,+0.056,-0.018,+0.250,+0.000,-0.019,+0.006,-0.083,+0.000,+0.050,-0.004,-0.82,+0.00,-10.91,+0.000,+0.075,1,-0.002,+0.00,+0.000,+0.0,0,
