step,thrust_cmd,roll_cmd,pitch_cmd,yaw_cmd,a_thrust,a_roll,a_pitch,a_yaw,gyro_x,gyro_y,gyro_z,ax,ay,az,tilt_roll,tilt_pitch,gate_visible,reward,r_collision,r_progress,r_gate,active_gate,term_reason
0,0.270,-0.001,-0.206,-0.005,+0.000,+0.000,+0.069,+0.002,+0.000,+0.000,-0.000,-3.00,+0.00,-9.34,+0.000,+0.311,1,-0.001,+0.00,+0.000,+0.0,0,
1,0.270,-0.001,-0.177,-0.005,+0.000,+0.000,+0.059,+0.002,+0.005,-0.010,+0.000,-3.05,-0.04,-8.37,-0.004,+0.350,1,-0.002,+0.00,+0.000,+0.0,0,
2,0.270,+0.034,-0.144,+0.145,+0.000,-0.011,+0.048,-0.048,+0.017,+0.083,+0.004,-2.66,-0.10,-9.98,-0.010,+0.260,1,-0.001,+0.00,+0.000,+0.0,0,
3,0.270,+0.003,-0.075,+0.011,+0.000,-0.001,+0.025,-0.004,+0.000,+0.507,-0.025,-1.16,+0.00,-9.96,+0.000,+0.115,1,-0.002,+0.00,+0.000,+0.0,0,
4,0.270,+0.005,-0.055,+0.050,+0.000,-0.002,+0.018,-0.017,-0.045,+0.475,-0.180,-0.04,-0.00,-9.07,-0.000,+0.005,1,-0.002,+0.00,+0.000,+0.0,0,
5,0.270,-0.013,-0.081,-0.031,+0.000,+0.004,+0.027,+0.010,-0.026,+0.157,-0.149,-0.01,-0.00,-9.68,-0.000,+0.001,1,-0.002,+0.00,+0.000,+0.0,0,
6,0.270,-0.009,-0.074,-0.033,+0.000,+0.003,+0.025,+0.011,+0.015,+0.190,-0.039,-0.02,+0.00,-9.96,+0.000,+0.002,1,-0.002,+0.00,+0.000,+0.0,0,
7,0.270,-0.005,-0.063,-0.028,+0.000,+0.002,+0.021,+0.009,+0.028,+0.232,+0.104,-0.04,+0.00,-10.05,+0.000,+0.004,1,-0.001,+0.00,+0.000,+0.0,0,
8,0.270,-0.003,-0.065,-0.017,+0.000,+0.001,+0.022,+0.006,+0.010,+0.189,+0.111,-0.03,+0.00,-10.09,+0.000,+0.003,1,-0.002,+0.00,+0.000,+0.0,0,
9,0.270,-0.002,-0.063,-0.010,+0.000,+0.001,+0.021,+0.003,+0.005,+0.174,+0.054,-0.04,+0.00,-10.10,+0.000,+0.004,1,-0.002,+0.00,+0.000,+0.0,0,
10,0.270,-0.002,-0.060,-0.012,+0.000,+0.001,+0.020,+0.004,+0.005,+0.178,+0.015,-0.04,+0.00,-10.10,+0.000,+0.004,1,-0.002,+0.00,+0.000,+0.0,0,
11,0.270,-0.002,-0.058,-0.012,+0.000,+0.001,+0.019,+0.004,+0.003,+0.167,+0.015,-0.05,+0.00,-10.10,+0.000,+0.005,1,-0.002,+0.00,+0.000,+0.0,0,
12,0.270,-0.001,-0.057,-0.006,+0.000,+0.000,+0.019,+0.002,+0.004,+0.158,+0.027,-0.06,+0.00,-10.09,+0.000,+0.006,1,+0.007,+0.00,+0.009,+0.0,0,
13,0.270,-0.001,-0.058,-0.008,+0.000,+0.000,+0.019,+0.003,+0.003,+0.155,+0.028,-0.07,+0.00,-10.09,+0.000,+0.007,1,-0.002,+0.00,+0.000,+0.0,0,
14,0.270,+0.000,-0.056,-0.003,+0.000,-0.000,+0.019,+0.001,+0.001,+0.152,+0.016,-0.09,+0.00,-10.08,+0.000,+0.009,1,+0.019,+0.00,+0.020,+0.0,0,
15,0.270,-0.000,-0.055,-0.003,+0.000,+0.000,+0.018,+0.001,+0.000,+0.149,+0.012,-0.10,+0.00,-10.07,+0.000,+0.010,1,+0.013,+0.00,+0.015,+0.0,0,
16,0.270,+0.000,-0.054,-0.001,+0.000,-0.000,+0.018,+0.000,-0.001,+0.144,+0.005,-0.12,-0.00,-10.07,-0.000,+0.012,1,+0.017,+0.00,+0.018,+0.0,0,
17,0.270,-0.000,-0.053,-0.002,+0.000,+0.000,+0.018,+0.001,-0.001,+0.140,+0.004,-0.14,-0.00,-10.06,-0.000,+0.014,1,-0.001,+0.00,+0.000,+0.0,0,
18,0.270,+0.000,-0.054,-0.001,+0.000,-0.000,+0.018,+0.000,-0.001,+0.137,+0.003,-0.16,-0.00,-10.05,-0.000,+0.016,1,-0.002,+0.00,+0.000,+0.0,0,
19,0.270,-0.000,-0.052,-0.002,+0.000,+0.000,+0.017,+0.001,-0.001,+0.137,+0.004,-0.19,-0.00,-10.04,-0.000,+0.019,1,+0.044,+0.00,+0.046,+0.0,0,
20,0.270,-0.001,-0.051,-0.004,+0.000,+0.000,+0.017,+0.001,-0.001,+0.135,+0.002,-0.21,-0.00,-10.04,-0.000,+0.021,1,+0.027,+0.00,+0.028,+0.0,0,
21,0.298,-0.000,-0.050,-0.003,+0.057,+0.000,+0.017,+0.001,+0.001,+0.130,+0.005,-0.24,+0.00,-10.03,+0.000,+0.024,1,+0.013,+0.00,+0.015,+0.0,0,
22,0.301,+0.001,-0.050,+0.001,+0.062,-0.000,+0.017,-0.000,+0.001,+0.128,+0.008,-0.26,+0.00,-10.56,+0.000,+0.025,1,-0.001,+0.00,+0.001,+0.0,0,
23,0.270,+0.001,-0.049,+0.003,+0.000,-0.000,+0.016,-0.001,-0.002,+0.128,+0.003,-0.30,-0.00,-11.28,-0.000,+0.026,1,+0.052,+0.00,+0.053,+0.0,0,
24,0.304,+0.001,-0.048,+0.004,+0.069,-0.000,+0.016,-0.001,-0.002,+0.124,-0.007,-0.33,-0.00,-10.41,-0.000,+0.031,1,+0.031,+0.00,+0.033,+0.0,0,
25,0.307,+0.001,-0.047,+0.003,+0.074,-0.000,+0.016,-0.001,-0.002,+0.121,-0.011,-0.36,-0.00,-11.18,-0.000,+0.032,1,+0.003,+0.00,+0.005,+0.0,0,
26,0.309,-0.001,-0.046,-0.001,+0.077,+0.000,+0.015,+0.000,-0.001,+0.118,-0.008,-0.36,-0.00,-11.83,-0.000,+0.031,1,+0.043,+0.00,+0.045,+0.0,0,
