msg,ts,sample
HIGHRES_IMU,184436141,-9.3403
HIGHRES_IMU,184443138,-9.3403
HIGHRES_IMU,184450089,-9.3403
HIGHRES_IMU,184456974,-8.3563
HIGHRES_IMU,184470889,-9.4939
HIGHRES_IMU,184477830,-9.3536
HIGHRES_IMU,184484844,-9.3510
HIGHRES_IMU,184491728,-9.3839
HIGHRES_IMU,184519653,-9.3313
HIGHRES_IMU,184547361,-9.3379
HIGHRES_IMU,184561118,-9.5048
HIGHRES_IMU,184588995,-9.8323
HIGHRES_IMU,184616788,-9.9903
HIGHRES_IMU,184651513,-10.0763
HIGHRES_IMU,184679333,-10.1041
HIGHRES_IMU,184686261,-10.1058
HIGHRES_IMU,184700144,-10.1137
HIGHRES_IMU,184727926,-10.1187
HIGHRES_IMU,184741837,-10.1193
HIGHRES_IMU,184748724,-10.1193
HIGHRES_IMU,184762612,-10.1189
HIGHRES_IMU,184776510,-10.1181
HIGHRES_IMU,184783422,-10.1176
HIGHRES_IMU,184797270,-10.1163
HIGHRES_IMU,184804366,-10.1156
HIGHRES_IMU,184811334,-10.1149
HIGHRES_IMU,184818146,-10.1142
HIGHRES_IMU,184832027,-10.1118
HIGHRES_IMU,184839007,-10.1126
HIGHRES_IMU,184845927,-10.1110
HIGHRES_IMU,184853000,-10.1097
HIGHRES_IMU,184866916,-10.1085
HIGHRES_IMU,184873724,-10.1077
HIGHRES_IMU,184880700,-10.1069
HIGHRES_IMU,184887592,-10.1060
HIGHRES_IMU,184901505,-10.1044
HIGHRES_IMU,184908574,-10.1035
HIGHRES_IMU,184915415,-10.1027
HIGHRES_IMU,184922366,-10.1019
HIGHRES_IMU,184936234,-10.1002
HIGHRES_IMU,184943224,-10.0994
HIGHRES_IMU,184950172,-10.0986
HIGHRES_IMU,184957084,-10.0977
HIGHRES_IMU,184970945,-10.0961
HIGHRES_IMU,184977905,-10.0953
HIGHRES_IMU,184984870,-10.0945
HIGHRES_IMU,184991809,-10.0937
HIGHRES_IMU,184998722,-10.0929
HIGHRES_IMU,185012630,-10.0913
HIGHRES_IMU,185019590,-10.0905
HIGHRES_IMU,185026558,-10.0898
HIGHRES_IMU,185040349,-10.0882
HIGHRES_IMU,185047324,-10.0874
HIGHRES_IMU,185054313,-10.0866
HIGHRES_IMU,185061187,-10.0859
HIGHRES_IMU,185075102,-10.0832
HIGHRES_IMU,185082055,-10.0847
HIGHRES_IMU,185088992,-10.0828
HIGHRES_IMU,185095921,-10.0821
HIGHRES_IMU,185109837,-10.0809
HIGHRES_IMU,185116790,-10.0799
HIGHRES_IMU,185123770,-10.0791
HIGHRES_IMU,185137642,-10.0776
HIGHRES_IMU,185144554,-10.0769
HIGHRES_IMU,185151597,-10.0729
HIGHRES_IMU,185165498,-10.0747
HIGHRES_IMU,185172496,-10.0740
HIGHRES_IMU,185179308,-10.0733
HIGHRES_IMU,185186260,-10.0726
HIGHRES_IMU,185200339,-10.0712
HIGHRES_IMU,185207125,-10.0705
HIGHRES_IMU,185214068,-10.0698
HIGHRES_IMU,185220992,-10.0691
HIGHRES_IMU,185234901,-10.0677
HIGHRES_IMU,185241790,-10.0670
HIGHRES_IMU,185248800,-10.0664
HIGHRES_IMU,185255746,-10.0657
HIGHRES_IMU,185269636,-10.0643
HIGHRES_IMU,185276588,-10.0637
HIGHRES_IMU,185283570,-10.0630
HIGHRES_IMU,185290461,-10.0624
HIGHRES_IMU,185304339,-10.0610
HIGHRES_IMU,185311287,-10.0604
HIGHRES_IMU,185318232,-10.0597
HIGHRES_IMU,185332083,-10.0584
HIGHRES_IMU,185339105,-10.0577
HIGHRES_IMU,185346319,-10.0571
HIGHRES_IMU,185359928,-10.0558
HIGHRES_IMU,185366834,-10.0552
HIGHRES_IMU,185373815,-10.0546
HIGHRES_IMU,185380783,-10.0539
HIGHRES_IMU,185387765,-10.0533
HIGHRES_IMU,185401576,-10.0511
HIGHRES_IMU,185408647,-10.0523
HIGHRES_IMU,185415497,-10.0508
HIGHRES_IMU,185422471,-10.0502
HIGHRES_IMU,185436323,-10.0489
HIGHRES_IMU,185443240,-10.0484
HIGHRES_IMU,185450221,-10.0477
HIGHRES_IMU,185457154,-10.0471
HIGHRES_IMU,185471081,-10.0459
HIGHRES_IMU,185478005,-10.0419
HIGHRES_IMU,185484964,-10.0482
HIGHRES_IMU,185491932,-10.0441
HIGHRES_IMU,185505737,-10.0429
HIGHRES_IMU,185512749,-10.0423
HIGHRES_IMU,185519686,-10.0418
HIGHRES_IMU,185526596,-10.0412
HIGHRES_IMU,185540483,-10.0400
HIGHRES_IMU,185547451,-10.0394
HIGHRES_IMU,185554504,-10.0389
HIGHRES_IMU,185561498,-10.0383
HIGHRES_IMU,185575244,-10.0371
HIGHRES_IMU,185582205,-10.0366
HIGHRES_IMU,185589144,-10.0360
HIGHRES_IMU,185596106,-10.0354
HIGHRES_IMU,185603109,-10.0349
HIGHRES_IMU,185617106,-10.0337
HIGHRES_IMU,185623837,-10.0332
