t,mode,locked,lock_src,speed_kmh,nx,ny,area_px,range_m,phase,thrust,des_pitch,yaw_rate,climb_m
0.0,manual,0,none,0.4,,,,,acro,0.255,-0.0,0.0,0.0
0.063,manual,0,none,1.5,,,,,acro,0.2680292411384427,0.3130824047422423,0.0,0.0
0.125,manual,0,none,2.7,,,,,acro,0.271227504534413,0.3476669768186607,0.0,0.0
0.188,manual,0,none,4.2,,,,,acro,0.2868672418788564,0.4758296976145813,0.0,0.02314479053900379
0.235,manual,0,none,7.2,,,,,acro,0.3554527090257931,0.7707403515199654,0.0,0.09955189921041235
0.297,manual,0,none,12.4,,,,,acro,0.3642857142857143,1.2530974062640314,0.0,0.21490958959347833
0.36,manual,0,none,17.9,,,,,acro,0.3642857142857143,1.2552453811184987,0.0,0.32278694840450667
0.422,manual,0,none,20.9,,,,,acro,0.3642857142857143,0.5171531239886906,0.0,0.3569023279392257
0.485,manual,0,none,20.9,,,,,acro,0.3642857142857143,-0.2648504587562704,0.0,0.2745062306127772
0.547,manual,0,none,18.3,,,,,acro,0.3642857142857143,-0.9431882918946604,0.0,0.09812639104318048
0.61,manual,0,none,14.6,,,,,acro,0.4302857142857143,-1.559940384478518,0.0,0.0
0.672,manual,0,none,11.1,,,,,acro,0.7,-1.0102421530339956,0.0,0.0
0.735,manual,0,none,8.0,,,,,acro,0.7,-0.6060636182706511,0.0,0.0
0.797,manual,0,none,5.6,,,,,acro,0.7,-0.4332231340247538,0.0,0.0
0.86,manual,0,none,2.4,,,,,acro,0.7,-0.4560840415022997,0.0,0.0
0.922,manual,0,none,1.2,,,,,acro,0.7,-0.5279156109951025,0.0,0.0
0.985,manual,0,none,5.4,,,,,acro,0.7,-0.5601495396514659,0.0,0.0
1.047,manual,0,none,10.6,,,,,acro,0.7,-0.5504050945469019,0.0,0.0
1.11,manual,0,none,15.1,,,,,acro,0.7,-0.5235304395361065,0.0,0.0
1.172,manual,0,none,19.4,,,,,acro,0.7,-0.49824499126479443,0.0,0.0
1.235,manual,0,none,24.3,,,,,acro,0.7,-0.5241033383786153,0.0,0.0
1.313,manual,0,none,28.9,,,,,acro,0.7,-0.755919633287307,0.0,0.06780456985471474
1.375,manual,0,none,34.2,,,,,acro,0.7,-1.1752860574752133,0.0,0.546662933811429
1.438,manual,0,none,39.8,,,,,acro,0.7,-1.515076122436994,0.0,1.039710522002122
1.5,manual,0,none,45.5,,,,,acro,0.7,-1.2616194280819206,0.0,1.5142537587596314
1.563,manual,0,none,51.6,,,,,acro,0.7,-1.190467945144256,0.0,1.8825326794405388
1.625,manual,0,none,56.7,,,,,acro,0.5049940476190159,-1.088191255191705,0.0,2.1652205027359965
1.688,manual,0,none,61.2,,,,,acro,0.4220586309523762,-0.8510650557674111,0.0,2.370403614866162
1.735,manual,0,none,64.5,,,,,acro,0.3642857142857143,-0.6074858699236629,0.0,2.4806076073682592
1.797,manual,0,none,66.7,,,,,acro,0.3642857142857143,-0.5014531753041575,0.0,2.4895765257036695
1.86,manual,0,none,67.9,,,,,acro,0.3642857142857143,-0.5015619811734968,0.0,2.419709328190809
1.922,manual,0,none,69.1,,,,,acro,0.3642857142857143,-0.5311471180957856,0.0,2.26825863753389
1.985,manual,0,none,70.7,,,,,acro,0.3642857142857143,-0.4664507242418208,0.0,2.0662098986358073
2.047,manual,0,none,72.3,,,,,acro,0.3642857142857143,-0.2220540209422566,0.0,1.7667703392460654
