Waiting for heartbeat...
Connected to system: 1
Setting up MAVLink rx...
Setting up Timesync loop...
Setting up VIO state estimator...
Loading YOLO gate model...
YOLO gate model ready.
Setting up planner...
Logging run to logs/run_1785189749.jsonl (and logs/latest.jsonl, truncated each run)
Listening for camera frames...
Priming attitude-hold stream...
[vio] anchored gate 0 at (+10.5,+0.1,-1.6) yaw=+0deg
Sim mode map: ['ACRO', 'ALT_HOLD', 'AUTO', 'AUTOROTATE', 'AUTOTUNE', 'AUTO_RTL', 'AVOID_ADSB', 'BRAKE', 'CIRCLE', 'DRIFT', 'FLIP', 'FLOWHOLD', 'FOLLOW', 'GUIDED', 'GUIDED_NOGPS', 'LAND', 'LOITER', 'OF_LOITER', 'POSHOLD', 'POSITION', 'RTL', 'SMART_RTL', 'SPORT', 'STABILIZE', 'SYSTEMID', 'THROW', 'ZIGZAG']
Requested control mode: STABILIZE
Arming drone...
Starting control loop... (DRY_RUN=False)
[FLY] src=     pnp_track range=  8.6m vel_ned=(+2.00,+0.14,-0.69) att=(r+0.00,p-0.12,y+0.07) thr=0.44
[FLY] src=     pnp_track range=  8.5m vel_ned=(+1.77,+0.93,-0.74) att=(r+0.20,p-0.18,y+0.49) thr=0.27
[FLY] src=     pnp_coast range=  ?   vel_ned=(+0.34,+0.94,+0.10) att=(r+0.18,p-0.24,y+1.22) thr=0.25
[FLY] src=     pnp_coast range=  ?   vel_ned=(+0.34,+0.94,+0.10) att=(r+0.07,p-0.29,y+1.22) thr=0.25
[FLY] src=     pnp_coast range=  ?   vel_ned=(+0.34,+0.94,+0.10) att=(r+0.03,p-0.30,y+1.22) thr=0.25
[FLY] src=     pnp_coast range=  ?   vel_ned=(+0.34,+0.94,+0.10) att=(r-0.06,p-0.29,y+1.22) thr=0.25
[FLY] src=     pnp_coast range=  ?   vel_ned=(+0.34,+0.94,+0.10) att=(r-0.03,p-0.30,y+1.22) thr=0.25
[FLY] src=     pnp_coast range=  ?   vel_ned=(+0.34,+0.94,+0.10) att=(r-0.01,p-0.30,y+1.22) thr=0.25
[FLY] src=    pnp_search range=  ?   vel_ned=(+0.00,+0.00,+0.00) att=(r-0.00,p-0.00,y+1.32) thr=0.28
[FLY] src=    pnp_search range=  ?   vel_ned=(+0.00,+0.00,+0.00) att=(r-0.00,p-0.00,y+1.52) thr=0.28
[FLY] src=    pnp_search range=  ?   vel_ned=(+0.00,+0.00,+0.00) att=(r-0.00,p-0.00,y+1.73) thr=0.28
[FLY] src=    pnp_search range=  ?   vel_ned=(+0.00,+0.00,+0.00) att=(r-0.00,p-0.00,y+1.93) thr=0.28
[FLY] src=    pnp_search range=  ?   vel_ned=(+0.00,+0.00,+0.00) att=(r-0.00,p-0.00,y+2.13) thr=0.28
[FLY] src=    pnp_search range=  ?   vel_ned=(+0.00,+0.00,+0.00) att=(r-0.00,p-0.00,y+2.33) thr=0.28
[FLY] src=    pnp_search range=  ?   vel_ned=(+0.00,+0.00,+0.00) att=(r-0.00,p-0.00,y+2.54) thr=0.28
[FLY] src=    pnp_search range=  ?   vel_ned=(+0.00,+0.00,+0.00) att=(r-0.00,p-0.00,y+2.74) thr=0.28
