nohup: ignoring input
[train] run dir: artifacts/runs/dreamer_small_1784878651
[train] learner device=cuda collector=cuda
[train] seeded replay with 7291 demo transitions from artifacts/demos
[train] prefill to 5000 transitions (random policy) ...
[train] prefill done -> learner + policy collection running
[train] steps=440 upd=50 sps=12.6 ups=1.4 wm=2.69 actor=0.34 ep_r=-21.81999969482422 gate=0 stage=hover
[train] steps=1070 upd=100 sps=14.9 ups=1.4 wm=2.88 actor=0.23 ep_r=-19.969999313354492 gate=0 stage=hover
[train] steps=1156 upd=150 sps=11.9 ups=1.5 wm=2.30 actor=0.13 ep_r=-20.059999465942383 gate=0 stage=hover
[train] steps=1212 upd=200 sps=9.8 ups=1.6 wm=2.50 actor=0.07 ep_r=-20.06999969482422 gate=0 stage=hover
[train] steps=1282 upd=250 sps=8.5 ups=1.7 wm=2.41 actor=0.04 ep_r=-20.059999465942383 gate=0 stage=hover
[train] steps=1352 upd=300 sps=7.6 ups=1.7 wm=2.45 actor=0.03 ep_r=-20.280000686645508 gate=0 stage=hover
[train] steps=1447 upd=350 sps=7.0 ups=1.7 wm=2.51 actor=0.02 ep_r=-20.280000686645508 gate=0 stage=hover
[train] steps=1523 upd=400 sps=6.5 ups=1.7 wm=2.56 actor=0.01 ep_r=-20.06999969482422 gate=0 stage=hover
[train] steps=2122 upd=450 sps=7.8 ups=1.6 wm=2.58 actor=0.02 ep_r=-24.139999389648438 gate=0 stage=hover
[train] steps=2612 upd=500 sps=8.5 ups=1.6 wm=2.43 actor=0.00 ep_r=-20.459999084472656 gate=0 stage=hover
[train] steps=2668 upd=550 sps=7.9 ups=1.6 wm=2.58 actor=-0.03 ep_r=-20.09000015258789 gate=0 stage=hover
[train] steps=2732 upd=600 sps=7.5 ups=1.6 wm=2.60 actor=-0.03 ep_r=-20.34000015258789 gate=0 stage=hover
[train] steps=2782 upd=650 sps=7.1 ups=1.7 wm=2.41 actor=-0.06 ep_r=-20.100000381469727 gate=0 stage=hover
[train] steps=2835 upd=700 sps=6.7 ups=1.7 wm=2.18 actor=-0.09 ep_r=-20.270000457763672 gate=0 stage=hover
[train] steps=2924 upd=750 sps=6.5 ups=1.7 wm=2.40 actor=-0.03 ep_r=-20.110000610351562 gate=0 stage=hover
[train] steps=3076 upd=800 sps=6.4 ups=1.7 wm=2.11 actor=0.00 ep_r=-20.0 gate=0 stage=hover
[train] steps=3173 upd=850 sps=6.2 ups=1.7 wm=2.23 actor=-0.05 ep_r=-20.219999313354492 gate=0 stage=hover
[train] steps=3277 upd=900 sps=6.1 ups=1.7 wm=1.98 actor=-0.06 ep_r=-20.100000381469727 gate=0 stage=hover
[train] steps=3953 upd=950 sps=6.8 ups=1.6 wm=2.24 actor=0.03 ep_r=-21.84000015258789 gate=0 stage=hover
[train] steps=4428 upd=1000 sps=7.2 ups=1.6 wm=2.30 actor=-0.01 ep_r=-20.899999618530273 gate=0 stage=hover
[train] steps=4729 upd=1050 sps=7.3 ups=1.6 wm=2.37 actor=-0.04 ep_r=-18.700000762939453 gate=0 stage=hover
[train] steps=5042 upd=1100 sps=7.3 ups=1.6 wm=2.40 actor=0.00 ep_r=-18.559999465942383 gate=0 stage=hover
[train] steps=5629 upd=1150 sps=7.7 ups=1.6 wm=2.29 actor=0.04 ep_r=-19.520000457763672 gate=0 stage=hover
[train] steps=6055 upd=1200 sps=7.9 ups=1.6 wm=2.34 actor=0.02 ep_r=-19.18000030517578 gate=0 stage=hover
[train] steps=6430 upd=1250 sps=8.0 ups=1.6 wm=2.12 actor=-0.04 ep_r=-18.59000015258789 gate=0 stage=hover
[train] steps=6769 upd=1300 sps=8.1 ups=1.5 wm=2.43 actor=0.02 ep_r=-18.450000762939453 gate=0 stage=hover
[train] steps=7185 upd=1350 sps=8.2 ups=1.5 wm=2.38 actor=0.05 ep_r=-20.639999389648438 gate=0 stage=hover
[train] steps=7593 upd=1400 sps=8.3 ups=1.5 wm=2.34 actor=-0.02 ep_r=-20.600000381469727 gate=0 stage=hover
[train] steps=8215 upd=1450 sps=8.6 ups=1.5 wm=2.52 actor=-0.07 ep_r=-20.81999969482422 gate=0 stage=hover
[train] steps=8744 upd=1500 sps=8.8 ups=1.5 wm=2.42 actor=0.01 ep_r=-18.829999923706055 gate=0 stage=hover
[train] steps=9217 upd=1550 sps=8.9 ups=1.5 wm=2.29 actor=-0.04 ep_r=-20.709999084472656 gate=0 stage=hover
[train] steps=9652 upd=1600 sps=9.0 ups=1.5 wm=2.25 actor=-0.06 ep_r=-17.59000015258789 gate=0 stage=hover
[train] steps=9933 upd=1650 sps=8.9 ups=1.5 wm=2.33 actor=-0.13 ep_r=-20.25 gate=0 stage=hover
[train] checkpoint -> artifacts/runs/dreamer_small_1784878651/ckpt_10013.pt
[train] steps=10216 upd=1700 sps=8.9 ups=1.5 wm=2.24 actor=-0.20 ep_r=-20.1299991607666 gate=0 stage=hover
[train] steps=10560 upd=1750 sps=8.9 ups=1.5 wm=2.17 actor=-0.09 ep_r=-20.049999237060547 gate=0 stage=hover
[train] steps=10867 upd=1800 sps=8.9 ups=1.5 wm=2.29 actor=-0.04 ep_r=-19.25 gate=0 stage=hover
[train] steps=11120 upd=1850 sps=8.9 ups=1.5 wm=2.35 actor=-0.08 ep_r=-19.780000686645508 gate=0 stage=hover
[train] steps=11321 upd=1900 sps=8.8 ups=1.5 wm=2.26 actor=-0.02 ep_r=-18.75 gate=0 stage=hover
[train] steps=11417 upd=1950 sps=8.7 ups=1.5 wm=2.35 actor=-0.12 ep_r=-19.729999542236328 gate=0 stage=hover
[train] steps=11507 upd=2000 sps=8.5 ups=1.5 wm=2.36 actor=-0.14 ep_r=-20.049999237060547 gate=0 stage=hover
[train] steps=11768 upd=2050 sps=8.5 ups=1.5 wm=2.34 actor=-0.14 ep_r=-18.790000915527344 gate=0 stage=hover
[train] steps=12143 upd=2100 sps=8.6 ups=1.5 wm=2.31 actor=-0.15 ep_r=-20.8700008392334 gate=0 stage=hover
[train] steps=12529 upd=2150 sps=8.6 ups=1.5 wm=2.36 actor=-0.16 ep_r=-18.799999237060547 gate=0 stage=hover
[train] steps=12885 upd=2200 sps=8.6 ups=1.5 wm=2.48 actor=-0.26 ep_r=-18.75 gate=0 stage=hover
[train] steps=13125 upd=2250 sps=8.6 ups=1.5 wm=2.21 actor=-0.17 ep_r=-18.68000030517578 gate=0 stage=hover
[train] steps=13361 upd=2300 sps=8.6 ups=1.5 wm=2.37 actor=-0.26 ep_r=-18.6299991607666 gate=0 stage=hover
[train] steps=13566 upd=2350 sps=8.5 ups=1.5 wm=2.35 actor=-0.35 ep_r=-18.829999923706055 gate=0 stage=hover
[train] steps=13795 upd=2400 sps=8.5 ups=1.5 wm=2.30 actor=-0.52 ep_r=-20.31999969482422 gate=0 stage=hover
[train] steps=13963 upd=2450 sps=8.4 ups=1.5 wm=2.08 actor=-0.33 ep_r=-17.6200008392334 gate=0 stage=hover
[train] steps=14099 upd=2500 sps=8.4 ups=1.5 wm=2.13 actor=-0.41 ep_r=-20.270000457763672 gate=0 stage=hover
[train] steps=14235 upd=2550 sps=8.3 ups=1.5 wm=2.31 actor=-0.67 ep_r=-20.15999984741211 gate=0 stage=hover
[train] steps=14398 upd=2600 sps=8.2 ups=1.5 wm=2.25 actor=-0.37 ep_r=-20.899999618530273 gate=0 stage=hover
[train] steps=14578 upd=2650 sps=8.2 ups=1.5 wm=2.10 actor=-0.53 ep_r=-18.670000076293945 gate=0 stage=hover
[train] steps=14753 upd=2700 sps=8.1 ups=1.5 wm=2.19 actor=-0.56 ep_r=-19.709999084472656 gate=0 stage=hover
[train] steps=14883 upd=2750 sps=8.0 ups=1.5 wm=2.35 actor=-0.56 ep_r=-20.049999237060547 gate=0 stage=hover
[train] steps=14999 upd=2800 sps=8.0 ups=1.5 wm=2.35 actor=-0.62 ep_r=-20.170000076293945 gate=0 stage=hover
[train] steps=15213 upd=2850 sps=7.9 ups=1.5 wm=2.35 actor=-0.51 ep_r=-18.190000534057617 gate=0 stage=hover
[train] steps=15437 upd=2900 sps=7.9 ups=1.5 wm=2.21 actor=-0.32 ep_r=-19.520000457763672 gate=0 stage=hover
[train] steps=15584 upd=2950 sps=7.9 ups=1.5 wm=2.21 actor=-0.26 ep_r=-20.299999237060547 gate=0 stage=hover
[train] steps=15706 upd=3000 sps=7.8 ups=1.5 wm=2.12 actor=-0.22 ep_r=-20.030000686645508 gate=0 stage=hover
[train] steps=15920 upd=3050 sps=7.8 ups=1.5 wm=2.21 actor=-0.48 ep_r=-17.65999984741211 gate=0 stage=hover
[train] steps=16095 upd=3100 sps=7.7 ups=1.5 wm=2.16 actor=-0.29 ep_r=-18.75 gate=0 stage=hover
[train] steps=16329 upd=3150 sps=7.7 ups=1.5 wm=2.07 actor=0.00 ep_r=-20.100000381469727 gate=0 stage=hover
[train] steps=16642 upd=3200 sps=7.7 ups=1.5 wm=2.03 actor=0.03 ep_r=-18.979999542236328 gate=0 stage=hover
[train] steps=17114 upd=3250 sps=7.8 ups=1.5 wm=2.14 actor=-0.11 ep_r=-21.329999923706055 gate=0 stage=hover
[train] steps=17462 upd=3300 sps=7.9 ups=1.5 wm=2.02 actor=-0.09 ep_r=-18.690000534057617 gate=0 stage=hover
[train] steps=17872 upd=3350 sps=7.9 ups=1.5 wm=1.98 actor=-0.00 ep_r=-18.579999923706055 gate=0 stage=hover
[train] steps=18264 upd=3400 sps=8.0 ups=1.5 wm=2.07 actor=-0.09 ep_r=-18.459999084472656 gate=0 stage=hover
[train] steps=18493 upd=3450 sps=7.9 ups=1.5 wm=1.95 actor=-0.12 ep_r=-20.260000228881836 gate=0 stage=hover
[train] steps=18705 upd=3500 sps=7.9 ups=1.5 wm=2.04 actor=-0.16 ep_r=-19.040000915527344 gate=0 stage=hover
[train] steps=18883 upd=3550 sps=7.9 ups=1.5 wm=2.04 actor=-0.13 ep_r=-20.280000686645508 gate=0 stage=hover
[train] steps=19067 upd=3600 sps=7.9 ups=1.5 wm=2.06 actor=-0.07 ep_r=-18.770000457763672 gate=0 stage=hover
[train] steps=19280 upd=3650 sps=7.8 ups=1.5 wm=2.08 actor=-0.21 ep_r=-20.479999542236328 gate=0 stage=hover
[train] steps=19481 upd=3700 sps=7.8 ups=1.5 wm=1.99 actor=-0.21 ep_r=-19.700000762939453 gate=0 stage=hover
[train] steps=19698 upd=3750 sps=7.8 ups=1.5 wm=1.96 actor=-0.18 ep_r=-20.219999313354492 gate=0 stage=hover
[train] steps=19892 upd=3800 sps=7.8 ups=1.5 wm=2.10 actor=-0.28 ep_r=-20.139999389648438 gate=0 stage=hover
[train] checkpoint -> artifacts/runs/dreamer_small_1784878651/ckpt_20016.pt
[train] steps=20109 upd=3850 sps=7.7 ups=1.5 wm=1.95 actor=-0.30 ep_r=-19.209999084472656 gate=0 stage=hover
[train] steps=20326 upd=3900 sps=7.7 ups=1.5 wm=1.96 actor=-0.41 ep_r=-20.1200008392334 gate=0 stage=hover
[train] steps=20468 upd=3950 sps=7.7 ups=1.5 wm=2.06 actor=-0.27 ep_r=-19.549999237060547 gate=0 stage=hover
[train] steps=20657 upd=4000 sps=7.6 ups=1.5 wm=1.93 actor=-0.29 ep_r=-19.8700008392334 gate=0 stage=hover
[train] steps=20852 upd=4050 sps=7.6 ups=1.5 wm=1.99 actor=-0.46 ep_r=-20.350000381469727 gate=0 stage=hover
[train] steps=21027 upd=4100 sps=7.6 ups=1.5 wm=1.96 actor=-0.28 ep_r=-19.579999923706055 gate=0 stage=hover
